algorithm,taskCount,n,relative_makespan_to_CBO,relative_energy_to_CBO,relative_cost_to_CBO,relative_imbalance_to_CBO,relative_objective_to_CBO
CBO,100,2,1.0,1.0,1.0,1.0,1.0
CBO,50,2,1.0,1.0,1.0,1.0,1.0
GTO,100,2,1.03839068,1.02423914,0.99888326,1.04207125,1.02762131
GTO,50,2,1.0489889,1.02994223,0.99875344,1.0529364,1.0341656
LSCBO,100,2,0.7798495,0.83564728,0.98251415,0.82609495,0.84818233
LSCBO,50,2,0.89417947,0.92086301,0.99008605,0.92358549,0.92997912
