algorithm,taskCount,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
CBO,100,2,101.98928445,64.16818381,122.58165503,1.30570944,1.2325355
CBO,50,2,42.9093154,27.91877771,57.63798834,1.18714099,1.13055817
GTO,100,2,105.90472259,65.72356525,122.44476303,1.36064227,1.26657975
GTO,50,2,45.01139554,28.75472824,57.56613919,1.24998396,1.16918437
LSCBO,100,2,79.53629269,53.62196827,120.43821086,1.07863997,1.04541483
LSCBO,50,2,38.36862908,25.70936957,57.06656842,1.09642619,1.05139549
