Iteration,BestFitness
0,1106.290566
1,1058.405063
2,1058.405063
3,1058.405063
4,1058.405063
5,1058.405063
6,1058.405063
7,1058.405063
8,1058.405063
9,1058.405063
10,1058.405063
11,1058.405063
12,1058.405063
13,1058.405063
14,1058.405063
15,1058.405063
16,1058.405063
17,1058.405063
18,1058.405063
19,1058.405063
20,1058.405063
21,1058.405063
22,1058.405063
23,1058.405063
24,1058.405063
25,1058.405063
26,1058.405063
27,1058.405063
28,1058.405063
29,1058.405063
30,1058.405063
31,1058.405063
32,1058.405063
33,1058.405063
34,1058.405063
35,1058.405063
36,1058.405063
37,1058.405063
38,1058.405063
39,1058.405063
40,1058.405063
41,1058.405063
42,1058.405063
43,1058.405063
44,1058.405063
45,1058.405063
46,1058.405063
47,1058.405063
48,1058.405063
49,1058.405063
50,1058.405063
51,1058.405063
52,1058.405063
53,1058.405063
54,1058.405063
55,1058.405063
56,1058.405063
57,1058.405063
58,1058.405063
59,1058.405063
60,1058.405063
61,1058.405063
62,1058.405063
63,1058.405063
64,1058.405063
65,1058.405063
66,1058.405063
67,1058.405063
68,1058.405063
69,1058.405063
70,1058.405063
71,1058.405063
72,1058.405063
73,1058.405063
74,1058.405063
75,1058.405063
76,1058.405063
77,1058.405063
78,1058.405063
79,1058.405063
80,1058.405063
81,1058.405063
82,1058.405063
83,1058.405063
84,1058.405063
85,1058.405063
86,1058.405063
87,1058.405063
88,1058.405063
89,1058.405063
90,1058.405063
91,1058.405063
92,1058.405063
93,1058.405063
94,1058.405063
95,1058.405063
96,1058.405063
97,1058.405063
98,1058.405063
99,1058.405063
