Iteration,BestFitness
0,377.684049
1,377.684049
2,360.472222
3,359.920530
4,359.920530
5,359.920530
6,359.920530
7,359.920530
8,359.920530
9,359.920530
10,359.920530
11,359.920530
12,359.920530
13,359.920530
14,359.920530
15,359.920530
16,359.920530
17,359.920530
18,359.920530
19,359.920530
20,359.920530
21,359.920530
22,359.920530
23,359.920530
24,359.920530
25,359.920530
26,359.920530
27,359.920530
28,359.920530
29,359.920530
30,359.920530
31,359.920530
32,359.920530
33,359.920530
34,359.920530
35,359.920530
36,359.920530
37,359.920530
38,359.920530
39,359.920530
40,359.920530
41,359.920530
42,359.920530
43,359.920530
44,359.920530
45,359.920530
46,359.920530
47,359.920530
48,359.920530
49,359.920530
50,359.920530
51,359.920530
52,359.920530
53,359.920530
54,359.920530
55,359.920530
56,359.920530
57,359.920530
58,359.920530
59,359.920530
60,359.920530
61,359.920530
62,359.920530
63,359.920530
64,359.920530
65,359.920530
66,359.920530
67,359.920530
68,359.920530
69,359.920530
70,359.920530
71,359.920530
72,359.920530
73,359.920530
74,359.920530
75,359.920530
76,359.920530
77,359.920530
78,359.920530
79,359.920530
80,359.920530
81,359.920530
82,359.920530
83,359.920530
84,359.920530
85,359.920530
86,359.920530
87,359.920530
88,359.920530
89,359.920530
90,359.920530
91,359.920530
92,347.055489
93,347.055489
94,347.055489
95,347.055489
96,347.055489
97,347.055489
98,347.055489
99,347.055489
