Iteration,BestFitness
0,1123.752669
1,1123.752669
2,1069.314908
3,1069.314908
4,1069.314908
5,1069.314908
6,1069.314908
7,1069.314908
8,1069.314908
9,1069.314908
10,1069.314908
11,1069.314908
12,1069.314908
13,1069.314908
14,1069.314908
15,1069.314908
16,1069.314908
17,1069.314908
18,1069.314908
19,1069.314908
20,1069.314908
21,1069.314908
22,1069.314908
23,1069.314908
24,1069.314908
25,1069.314908
26,1069.314908
27,1069.314908
28,1069.314908
29,1069.314908
30,1069.314908
31,1069.314908
32,1069.314908
33,1069.314908
34,1069.314908
35,1069.314908
36,1069.314908
37,1069.314908
38,1069.314908
39,1069.314908
40,1069.314908
41,1069.314908
42,1069.314908
43,1069.314908
44,1069.314908
45,1069.314908
46,1069.314908
47,1069.314908
48,1069.314908
49,1069.314908
50,1069.314908
51,1069.314908
52,1069.314908
53,1069.314908
54,1069.314908
55,1069.314908
56,1069.314908
57,1069.314908
58,1069.314908
59,1069.314908
60,1069.314908
61,1069.314908
62,1069.314908
63,1069.314908
64,1069.314908
65,1069.314908
66,1069.314908
67,1069.314908
68,1069.314908
69,1069.314908
70,1069.314908
71,1069.314908
72,1069.314908
73,1069.314908
74,1069.314908
75,1069.314908
76,1069.314908
77,1069.314908
78,1069.314908
79,1069.314908
80,1069.314908
81,1069.314908
82,1069.314908
83,1069.314908
84,1069.314908
85,1069.314908
86,1069.314908
87,1069.314908
88,1069.314908
89,1069.314908
90,1069.314908
91,1069.314908
92,1069.314908
93,1069.314908
94,1069.314908
95,1069.314908
96,1069.314908
97,1069.314908
98,1069.314908
99,1069.314908
