Iteration,BestFitness
0,385.517117
1,385.517117
2,385.517117
3,385.517117
4,385.517117
5,385.517117
6,385.517117
7,385.517117
8,385.517117
9,385.517117
10,385.517117
11,385.517117
12,385.517117
13,385.517117
14,385.517117
15,385.517117
16,385.517117
17,385.517117
18,385.517117
19,385.517117
20,385.517117
21,385.517117
22,385.517117
23,385.517117
24,385.517117
25,385.517117
26,385.517117
27,385.517117
28,385.517117
29,385.517117
30,385.517117
31,385.517117
32,385.517117
33,385.517117
34,385.517117
35,385.517117
36,385.517117
37,385.517117
38,385.517117
39,385.517117
40,385.517117
41,385.517117
42,385.517117
43,385.517117
44,385.517117
45,385.517117
46,385.517117
47,385.517117
48,385.517117
49,385.517117
50,385.517117
51,385.517117
52,385.517117
53,385.517117
54,385.517117
55,385.517117
56,385.517117
57,385.517117
58,385.517117
59,385.517117
60,385.517117
61,385.517117
62,385.517117
63,385.517117
64,385.517117
65,385.517117
66,385.517117
67,385.517117
68,385.517117
69,385.517117
70,385.517117
71,385.517117
72,385.517117
73,385.517117
74,385.517117
75,385.517117
76,385.517117
77,385.517117
78,385.517117
79,385.517117
80,385.517117
81,385.517117
82,385.517117
83,385.517117
84,385.517117
85,385.517117
86,385.517117
87,385.517117
88,385.517117
89,385.517117
90,385.517117
91,385.517117
92,385.517117
93,385.517117
94,381.777393
95,381.777393
96,381.777393
97,381.777393
98,381.777393
99,381.777393
