Iteration,BestFitness
0,1666.302469
1,1666.302469
2,1666.302469
3,1666.302469
4,1666.302469
5,1666.302469
6,1666.302469
7,1666.302469
8,1666.302469
9,1666.302469
10,1666.302469
11,1666.302469
12,1666.302469
13,1666.302469
14,1666.302469
15,1666.302469
16,1666.302469
17,1666.302469
18,1666.302469
19,1666.302469
20,1666.302469
21,1666.302469
22,1666.302469
23,1666.302469
24,1666.302469
25,1666.302469
26,1666.302469
27,1666.302469
28,1666.302469
29,1666.302469
30,1666.302469
31,1666.302469
32,1666.302469
33,1666.302469
34,1666.302469
35,1666.302469
36,1666.302469
37,1666.302469
38,1666.302469
39,1666.302469
40,1666.302469
41,1666.302469
42,1666.302469
43,1666.302469
44,1666.302469
45,1666.302469
46,1666.302469
47,1666.302469
48,1666.302469
49,1666.302469
50,1666.302469
51,1666.302469
52,1666.302469
53,1666.302469
54,1666.302469
55,1666.302469
56,1666.302469
57,1666.302469
58,1666.302469
59,1666.302469
60,1666.302469
61,1666.302469
62,1666.302469
63,1666.302469
64,1666.302469
65,1666.302469
66,1666.302469
67,1666.302469
68,1666.302469
69,1666.302469
70,1666.302469
71,1666.302469
72,1666.302469
73,1666.302469
74,1666.302469
75,1666.302469
76,1666.302469
77,1666.302469
78,1666.302469
79,1666.302469
80,1666.302469
81,1666.302469
82,1666.302469
83,1666.302469
84,1666.302469
85,1666.302469
86,1666.302469
87,1666.302469
88,1666.302469
89,1666.302469
90,1666.302469
91,1666.302469
92,1666.302469
93,1666.302469
94,1666.302469
95,1666.302469
96,1666.302469
97,1666.302469
98,1666.302469
99,1666.302469
