opponent,n,wins,ties,losses,median_difference,raw_p,holm_p
CBO,150,149,0,1,-0.014583785000000016,2.346308187531422e-26,1.379763453640187e-25
PSO,150,150,0,0,-0.014583785000000016,2.2996057560669784e-26,1.379763453640187e-25
GWO,150,150,0,0,-0.014583785000000016,2.2996057560669784e-26,1.379763453640187e-25
WOA,150,150,0,0,-0.014583785000000016,2.2996057560669784e-26,1.379763453640187e-25
AOA,150,150,0,0,-0.014583785000000016,2.2996057560669784e-26,1.379763453640187e-25
GREEDY_LPT,150,150,0,0,-0.014583785000000016,2.2996057560669784e-26,1.379763453640187e-25
