variant,makespan,energy,cost,imbalance,objective
objective_only_pair_ls,291.51980897026664,1010.6213376695333,2193.7017409147334,0.0023372190666666667,0.8993513445999999
LSCBO_full,291.5372786318666,1010.3975894419333,2193.5747189468666,0.0036712734666666668,0.9835267076666666
ls_only,291.5372786318666,1010.3975894419333,2193.5747189468666,0.0036712734666666668,0.9835267076666666
no_levy,291.5372786318666,1010.3975894419333,2193.5747189468666,0.0036712734666666668,0.9835267076666666
cbo_base,291.5390983606,1010.4510311852667,2193.6144147314667,0.003934071733333333,1.0
greedy_reference,291.5390983606,1010.4510311852667,2193.6144147314667,0.003934071733333333,1.0
no_local_search,291.5390983606,1010.4510311852667,2193.6144147314667,0.003934071733333333,1.0
pareto_relocate_ls,291.5390983606,1010.4510311852667,2193.6144147314667,0.003934071733333333,1.0
