taskCount,n,lscbo_mean_makespan,greedy_mean_makespan,improvement_pct_makespan,lscbo_wins_makespan,lscbo_mean_energy,greedy_mean_energy,improvement_pct_energy,lscbo_wins_energy,lscbo_mean_cost,greedy_mean_cost,improvement_pct_cost,lscbo_wins_cost,lscbo_mean_imbalance,greedy_mean_imbalance,improvement_pct_imbalance,lscbo_wins_imbalance,lscbo_mean_objective,greedy_mean_objective,improvement_pct_objective,lscbo_wins_objective
200,30,33.86449174333333,33.868703571666664,0.012435753037964847,8,115.06211819866668,115.14204360033334,0.06941461100350432,30,250.78085519066673,250.8435014356667,0.02497423478838856,30,0.011758286666666666,0.012618071,6.813912628430552,30,0.9826322143333333,1.0,1.7367785666666746,30
500,30,84.44739638966666,84.44812440366667,0.000862084273800523,5,291.6104293616666,291.664607072,0.018575346140659033,30,633.7476106459999,633.7845608593335,0.005830090477987326,30,0.003498024666666668,0.0037454973333333336,6.607204454913484,30,0.982616746,1.0,1.738325399999996,30
1000,30,168.06667248666665,168.067584288,0.0005425206396680871,4,581.8754137656667,581.9239657756666,0.008343359760953906,30,1263.6649384233335,1263.7004559399998,0.002810596174063207,30,0.0018148563333333335,0.001936557,6.284383401400861,30,0.983700427,1.0,1.6299572999999956,30
2000,30,335.90043604899995,335.90168699466665,0.00037241422569112004,7,1164.538667998,1164.5837420793332,0.003870402763206382,30,2528.160976211,2528.192958409667,0.0012650220609367047,30,0.0009049293333333334,0.0009672069999999998,6.438918108188463,30,0.9834442136666668,1.0,1.6555786333333211,30
5000,30,835.4073964906667,835.409392545,0.0002389312774186969,10,2898.9013178856676,2898.9407973989996,0.0013618599375098128,30,6291.519214263333,6291.550597012667,0.0004988078669887486,30,0.0003802703333333333,0.00040302633333333333,5.64628117765672,30,0.9852399373333333,1.0,1.476006266666674,30
