mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E3_evolution,LSCBO,V5_LSCBO_final,W0_equal,default_4_to_1,LEVY,200,50,72,20,20,20,400,14,434,34.15307329,117.75316471,246.24759666,1.01789439,52.65000000,158.36272899,249.98133718,1.50230418,1.34437892,200,53.44188450,49
formalfull,E3_evolution,CBO,V1_CBO,W0_equal,default_4_to_1,NONE,200,50,72,20,20,20,400,0,420,34.15307329,117.75316471,246.24759666,1.01789439,63.35106383,184.24182353,256.43471800,1.68363657,1.52874195,200,64.07808511,38
formalfull,E3_evolution,LSCBO,V4_CBO_plus_Levy_plus_LS,W0_equal,default_4_to_1,LEVY,200,50,72,20,20,20,400,20,440,34.15307329,117.75316471,246.24759666,1.01789439,44.36084453,139.81849538,247.68604969,1.29983532,1.19227380,200,45.27265498,43
formalfull,E3_evolution,LSCBO,V2_CBO_plus_Levy,W0_equal,default_4_to_1,LEVY,200,50,72,20,20,20,400,0,420,34.15307329,117.75316471,246.24759666,1.01789439,65.62612036,189.24359782,256.90644973,1.73539655,1.56920596,200,66.74485275,44
formalfull,E3_evolution,LSCBO,V3_CBO_plus_LS,W0_equal,default_4_to_1,NONE,200,50,72,20,20,20,400,20,440,34.15307329,117.75316471,246.24759666,1.01789439,41.71175858,133.53004670,246.30091436,1.24238291,1.14401477,200,42.39793965,39
formalfull,E3_evolution,LSCBO,V5_LSCBO_final,W0_equal,default_4_to_1,LEVY,500,50,72,20,20,20,400,20,440,80.62965186,279.68135489,590.09091932,1.00253095,121.13383838,373.19311742,606.52139242,1.39237039,1.31334971,500,123.23752525,114
formalfull,E3_evolution,CBO,V1_CBO,W0_equal,default_4_to_1,NONE,500,50,72,20,20,20,400,0,420,80.62965186,279.68135489,590.09091932,1.00253095,163.21124620,464.44766866,612.98930533,1.82184989,1.63522390,500,165.36683891,100
formalfull,E3_evolution,LSCBO,V4_CBO_plus_Levy_plus_LS,W0_equal,default_4_to_1,LEVY,500,50,72,20,20,20,400,20,440,80.62965186,279.68135489,590.09091932,1.00253095,119.93465046,369.84576228,604.99310789,1.38834185,1.30498733,500,121.94738602,127
formalfull,E3_evolution,LSCBO,V2_CBO_plus_Levy,W0_equal,default_4_to_1,LEVY,500,50,72,20,20,20,400,0,420,80.62965186,279.68135489,590.09091932,1.00253095,164.89361702,469.92633023,616.54200559,1.81188771,1.64435838,500,167.12519757,113
formalfull,E3_evolution,LSCBO,V3_CBO_plus_LS,W0_equal,default_4_to_1,NONE,500,50,72,20,20,20,400,20,440,80.62965186,279.68135489,590.09091932,1.00253095,114.92936803,358.05504958,602.53963414,1.34568916,1.26725285,500,116.70107807,95
formalfull,E3_evolution,LSCBO,V5_LSCBO_final,W0_equal,default_4_to_1,LEVY,1000,50,72,20,20,20,400,20,440,162.28884026,563.03575351,1188.21705534,1.00207689,264.30091185,797.93071638,1228.48272003,1.48434668,1.39023370,1000,267.99601824,242
formalfull,E3_evolution,CBO,V1_CBO,W0_equal,default_4_to_1,NONE,1000,50,72,20,20,20,400,0,420,162.28884026,563.03575351,1188.21705534,1.00207689,341.18750000,966.19507279,1243.03385602,1.85549804,1.67904474,1000,346.18845745,239
formalfull,E3_evolution,LSCBO,V4_CBO_plus_Levy_plus_LS,W0_equal,default_4_to_1,LEVY,1000,50,72,20,20,20,400,20,440,162.28884026,563.03575351,1188.21705534,1.00207689,250.40425532,766.84134094,1224.63430625,1.41856521,1.33780107,1000,254.83796353,234
formalfull,E3_evolution,LSCBO,V2_CBO_plus_Levy,W0_equal,default_4_to_1,LEVY,1000,50,72,20,20,20,400,0,420,162.28884026,563.03575351,1188.21705534,1.00207689,339.75683891,963.90538047,1244.27738895,1.84273281,1.67290113,1000,344.40483283,273
formalfull,E3_evolution,LSCBO,V3_CBO_plus_LS,W0_equal,default_4_to_1,NONE,1000,50,72,20,20,20,400,20,440,162.28884026,563.03575351,1188.21705534,1.00207689,279.85776805,832.91148701,1233.10989642,1.55554645,1.44846728,1000,284.29352584,212
formalfull,E3_evolution,LSCBO,V5_LSCBO_final,W0_equal,default_4_to_1,LEVY,2000,50,72,20,20,20,400,20,440,329.33694268,1142.95087307,2413.17546149,1.00127000,554.92804878,1661.50025291,2500.59769731,1.52499638,1.42449209,2000,562.63317073,506
formalfull,E3_evolution,CBO,V1_CBO,W0_equal,default_4_to_1,NONE,2000,50,72,20,20,20,400,0,420,329.33694268,1142.95087307,2413.17546149,1.00127000,697.82725528,1972.53394714,2524.58632256,1.86842831,1.68923432,2000,707.02362764,455
formalfull,E3_evolution,LSCBO,V4_CBO_plus_Levy_plus_LS,W0_equal,default_4_to_1,LEVY,2000,50,72,20,20,20,400,20,440,329.33694268,1142.95087307,2413.17546149,1.00127000,571.50447761,1699.26365788,2506.41021814,1.56057894,1.45482186,2000,581.24731343,504
