Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
GWO,100,9,51,0.961274,0.002775,0.035231,0.411954,2.333197
FCFS,100,10,52,17.596,0.002866,0.042006,0.392062,2.39262
RoundRobin,100,10,52,17.596,0.002866,0.042006,0.392062,2.39262
Random,100,10,52,26.248,0.00289,0.043544,0.251105,2.840392
MinMin,100,10,52,7.634,0.002924,0.025805,0.725377,0.874914
MaxMin,100,10,52,5.651,0.002962,0.031781,0.916078,0.319546
LSCBO,100,10,52,1.185437,0.002869,0.037986,0.309691,3.161813
CBO,100,10,52,1.174562,0.002868,0.038643,0.378906,2.641787
PSO,100,10,52,1.083729,0.002968,0.038398,0.413028,2.765975
AOA,100,10,52,1.153741,0.002664,0.037261,0.416423,2.737848
GWO,100,10,52,1.03219,0.002859,0.034653,0.421574,2.344961
FCFS,100,11,53,17.86,0.003033,0.042974,0.399863,2.42741
RoundRobin,100,11,53,17.86,0.003033,0.042974,0.399863,2.42741
Random,100,11,53,35.44,0.003045,0.041178,0.15057,4.444485
MinMin,100,11,53,7.701,0.003116,0.024744,0.720435,0.859811
MaxMin,100,11,53,5.692,0.003105,0.03187,0.910845,0.354539
LSCBO,100,11,53,1.015954,0.002927,0.038824,0.468095,2.187238
CBO,100,11,53,1.158624,0.002902,0.03842,0.361322,3.000102
PSO,100,11,53,1.137639,0.002967,0.040181,0.385016,2.578551
AOA,100,11,53,1.322946,0.002937,0.038967,0.285301,3.218061
GWO,100,11,53,1.084292,0.003058,0.035834,0.435048,2.061487
FCFS,100,12,54,14.112,0.002597,0.036891,0.476383,2.159524
RoundRobin,100,12,54,14.112,0.002597,0.036891,0.476383,2.159524
Random,100,12,54,22.788,0.002479,0.036342,0.20655,3.014363
MinMin,100,12,54,7.14,0.002626,0.02546,0.714372,0.918695
MaxMin,100,12,54,5.34,0.002686,0.030104,0.931743,0.314885
LSCBO,100,12,54,0.858884,0.002571,0.034143,0.496275,2.137709
CBO,100,12,54,0.985535,0.002583,0.032807,0.388841,2.705757
PSO,100,12,54,0.989257,0.002658,0.033698,0.406404,2.244191
AOA,100,12,54,1.174872,0.002616,0.035761,0.365168,3.1727
GWO,100,12,54,1.044271,0.002611,0.033825,0.367686,3.348159
FCFS,100,13,55,15.68,0.002833,0.039791,0.393063,2.280938
RoundRobin,100,13,55,15.68,0.002833,0.039791,0.393063,2.280938
Random,100,13,55,34.7,0.002839,0.03905,0.018392,5.304241
MinMin,100,13,55,7.468,0.002991,0.025865,0.680985,0.976128
MaxMin,100,13,55,5.28,0.002951,0.031116,0.93998,0.265648
LSCBO,100,13,55,0.758691,0.00307,0.03352,0.539851,2.115772
CBO,100,13,55,1.067515,0.003086,0.034246,0.334551,3.099699
PSO,100,13,55,0.938259,0.002669,0.036663,0.432889,2.495657
AOA,100,13,55,0.869033,0.002952,0.032567,0.427673,2.071572
GWO,100,13,55,0.918234,0.002897,0.035317,0.421121,2.185073
FCFS,100,14,56,19.632,0.002551,0.04087,0.375584,2.631679
RoundRobin,100,14,56,19.632,0.002551,0.04087,0.375584,2.631679
Random,100,14,56,25.74,0.002588,0.040432,0.285744,3.110754
MinMin,100,14,56,7.344,0.002437,0.027256,0.75671,0.84518
MaxMin,100,14,56,5.628,0.002502,0.03227,0.93694,0.223245
LSCBO,100,14,56,0.916734,0.002488,0.034425,0.573759,1.716226
CBO,100,14,56,1.127416,0.002349,0.037003,0.376892,2.578779
PSO,100,14,56,1.03457,0.002303,0.037376,0.480028,1.857541
AOA,100,14,56,1.15131,0.002532,0.033864,0.307814,2.75654
GWO,100,14,56,0.928473,0.002485,0.034066,0.492939,2.085872
FCFS,100,15,57,18.576,0.003068,0.037044,0.212972,2.952934
RoundRobin,100,15,57,18.576,0.003068,0.037044,0.212972,2.952934
Random,100,15,57,24.784,0.003174,0.03274,0.325777,3.602617
MinMin,100,15,57,6.461,0.003386,0.02289,0.785126,0.730706
MaxMin,100,15,57,4.621,0.003315,0.02623,0.906102,0.341389
LSCBO,100,15,57,0.846438,0.003211,0.029666,0.456926,2.497194
CBO,100,15,57,0.940623,0.003447,0.029526,0.3922,2.99991
PSO,100,15,57,0.801711,0.003114,0.02996,0.478371,1.869921
AOA,100,15,57,0.922248,0.003157,0.030298,0.377455,2.517703
GWO,100,15,57,0.831314,0.003349,0.028124,0.455364,2.322166
FCFS,100,16,58,17.86,0.002884,0.045234,0.410854,2.300825
RoundRobin,100,16,58,17.86,0.002884,0.045234,0.410854,2.300825
Random,100,16,58,30.416,0.002834,0.044199,0.122546,4.071038
MinMin,100,16,58,7.796,0.002858,0.027428,0.816724,0.78148
MaxMin,100,16,58,5.878,0.002954,0.033946,0.924547,0.290785
LSCBO,100,16,58,1.257749,0.002901,0.04157,0.310031,2.452681
CBO,100,16,58,1.076701,0.002757,0.03583,0.469151,2.014928
PSO,100,16,58,0.960938,0.002992,0.037765,0.489705,2.709021
AOA,100,16,58,1.16812,0.00273,0.040502,0.421396,2.630639
GWO,100,16,58,1.091724,0.002992,0.038801,0.389542,2.450153
FCFS,100,17,59,18.944,0.003164,0.039778,0.344401,2.618775
RoundRobin,100,17,59,18.944,0.003164,0.039778,0.344401,2.618775
Random,100,17,59,28.86,0.003128,0.039456,0.109349,3.817384
MinMin,100,17,59,7.230667,0.003347,0.024178,0.714232,0.830872
MaxMin,100,17,59,5.178,0.003245,0.030303,0.943265,0.26652
LSCBO,100,17,59,0.94523,0.003177,0.036245,0.444823,2.353449
CBO,100,17,59,0.937573,0.003158,0.034205,0.40874,2.317969
PSO,100,17,59,0.919193,0.003138,0.034079,0.501357,2.114312
AOA,100,17,59,1.130761,0.003184,0.036442,0.38676,2.268493
GWO,100,17,59,0.857909,0.003149,0.032533,0.490962,2.552231
FCFS,100,18,60,12.644,0.002817,0.037297,0.461402,1.949003
RoundRobin,100,18,60,12.644,0.002817,0.037297,0.461402,1.949003
Random,100,18,60,33.2,0.002911,0.044112,0.010566,4.092884
MinMin,100,18,60,7.042667,0.003242,0.023162,0.650884,0.954413
MaxMin,100,18,60,4.99,0.003086,0.029315,0.943639,0.226352
LSCBO,100,18,60,0.801487,0.002886,0.032454,0.45526,1.784636
CBO,100,18,60,0.875966,0.00293,0.030245,0.443537,2.028167
PSO,100,18,60,0.970182,0.00289,0.034094,0.3584,3.133639
AOA,100,18,60,0.881435,0.00296,0.033864,0.373672,2.444587
GWO,100,18,60,0.794531,0.002779,0.032318,0.512342,2.051369
FCFS,100,19,61,18.632,0.002583,0.039419,0.395609,2.725147
RoundRobin,100,19,61,18.632,0.002583,0.039419,0.395609,2.725147
Random,100,19,61,30.44,0.002487,0.042453,0.130254,3.43619
MinMin,100,19,61,7.118,0.002487,0.024789,0.779933,0.855144
MaxMin,100,19,61,5.343,0.002573,0.030104,0.910589,0.305431
LSCBO,100,19,61,1.023381,0.002561,0.035808,0.402008,2.259435
CBO,100,19,61,1.130119,0.002537,0.036624,0.36785,3.209534
PSO,100,19,61,0.900767,0.002529,0.033105,0.494415,2.216244
AOA,100,19,61,1.127365,0.002595,0.03179,0.246666,3.622093
GWO,100,19,61,1.056986,0.002546,0.036254,0.361498,2.151462
FCFS,100,20,62,13.144,0.002918,0.029823,0.42441,2.492753
RoundRobin,100,20,62,13.144,0.002918,0.029823,0.42441,2.492753
Random,100,20,62,21.632,0.002861,0.029259,0.181126,4.128938
MinMin,100,20,62,5.868,0.003157,0.023133,0.840726,0.708578
MaxMin,100,20,62,4.356,0.003196,0.024486,0.907829,0.304026
LSCBO,100,20,62,0.776711,0.002948,0.028348,0.340165,3.281804
CBO,100,20,62,0.781017,0.002892,0.025921,0.360716,2.50336
PSO,100,20,62,0.754433,0.003094,0.026627,0.409225,2.52581
AOA,100,20,62,0.776309,0.003023,0.027283,0.357953,2.937627
GWO,100,20,62,0.690444,0.002988,0.025882,0.482797,2.847205
FCFS,100,21,63,18.848,0.002742,0.041572,0.371985,2.541054
RoundRobin,100,21,63,18.848,0.002742,0.041572,0.371985,2.541054
Random,100,21,63,44.088,0.002728,0.041429,-0.008706,6.082301
MinMin,100,21,63,7.573,0.002719,0.026019,0.697537,0.896672
MaxMin,100,21,63,5.657333,0.002743,0.031989,0.930099,0.278417
LSCBO,100,21,63,1.014559,0.002663,0.036492,0.423949,2.582408
CBO,100,21,63,1.054128,0.002705,0.036204,0.339959,2.513313
PSO,100,21,63,0.996116,0.002565,0.036388,0.460853,1.926563
