variant,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
LSCBO_full,5,480.21098658,1436.50436816,2176.37877799,1.47292916,1.36884152
cbo_base,5,575.02182801,1640.10306887,2187.31578391,1.72796677,1.56629037
ls_only,5,485.08175522,1446.24002739,2175.63758221,1.47817342,1.3678284
no_levy,5,483.04210833,1442.68834818,2176.89323547,1.47499464,1.37122505
no_local_search,5,577.88142456,1646.94241372,2188.90311761,1.71847855,1.55859006
no_phase2,5,468.05355881,1408.3271401,2171.25012163,1.47613647,1.36645773
no_phase3,5,467.12994941,1407.73044721,2173.6396097,1.41563367,1.31975976
