variant,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
V1_CBO,5,575.35977477,1639.30631696,2184.61433014,1.75136059,1.58252055
V2_CBO_plus_Levy,5,573.91709081,1636.28552397,2184.58696762,1.7300914,1.56391461
V3_CBO_plus_LS,5,486.01123144,1449.10991053,2177.31783607,1.46853566,1.36308051
V4_CBO_plus_Levy_plus_LS,5,498.32940756,1475.04274485,2177.80377738,1.48302028,1.37256221
V5_LSCBO_final,5,478.76428437,1431.66580682,2173.09450088,1.42440452,1.32694496
