mode,experiment,algorithm,variant,weightProfile,vmProfile,perturbation,taskCount,vmCount,seed,populationSize,maxIterations,initialEvaluations,iterationEvaluations,localSearchEvaluations,totalEvaluations,normMakespan,normEnergy,normCost,normImbalance,makespan,energy,cost,imbalance,objective,cloudsimFinishedCloudlets,cloudsimMakespan,runtimeMs
formalfull,E2_ablation,LSCBO,no_local_search,W0_equal,default_4_to_1,LEVY,200,50,65,20,20,20,400,0,420,36.51744766,125.44199131,244.19928065,1.02744313,74.24571429,210.93305384,256.60219333,1.83308144,1.63739643,200,75.56904762,156
formalfull,E2_ablation,LSCBO,LSCBO_full,W0_equal,default_4_to_1,LEVY,200,50,65,20,20,20,400,20,440,36.51744766,125.44199131,244.19928065,1.02744313,45.73737374,145.64705270,245.99366834,1.26137904,1.16214662,200,46.75343434,99
formalfull,E2_ablation,LSCBO,no_phase2,W0_equal,default_4_to_1,LEVY,200,50,65,20,20,20,400,20,440,36.51744766,125.44199131,244.19928065,1.02744313,46.92801556,148.45243400,246.57844783,1.28591998,1.18245883,200,47.77642023,140
formalfull,E2_ablation,LSCBO,no_phase3,W0_equal,default_4_to_1,LEVY,200,50,65,20,20,20,400,11,431,36.51744766,125.44199131,244.19928065,1.02744313,69.84819734,201.87045127,256.78019725,1.72148319,1.56225737,200,71.14474686,163
formalfull,E2_ablation,LSCBO,ls_only,W0_equal,default_4_to_1,NONE,200,50,65,20,20,20,400,20,440,36.51744766,125.44199131,244.19928065,1.02744313,45.61664190,145.94107889,246.97565987,1.24456722,1.15882069,200,46.42635191,104
formalfull,E2_ablation,CBO,cbo_base,W0_equal,default_4_to_1,NONE,200,50,65,20,20,20,400,0,420,36.51744766,125.44199131,244.19928065,1.02744313,71.75619048,204.74939412,254.80732014,1.80358650,1.59901501,200,72.93285714,97
formalfull,E2_ablation,LSCBO,no_levy,W0_equal,default_4_to_1,NONE,200,50,65,20,20,20,400,20,440,36.51744766,125.44199131,244.19928065,1.02744313,46.65384615,147.36222015,245.64419819,1.29163367,1.17884294,200,47.45423077,148
formalfull,E2_ablation,LSCBO,no_local_search,W0_equal,default_4_to_1,LEVY,500,50,65,20,20,20,400,0,420,90.19047619,312.53436901,615.74850351,1.00503064,191.28404669,541.81707213,649.35647974,1.85384694,1.68841547,500,194.04579767,325
formalfull,E2_ablation,LSCBO,LSCBO_full,W0_equal,default_4_to_1,LEVY,500,50,65,20,20,20,400,20,440,90.19047619,312.53436901,615.74850351,1.00503064,128.68471338,401.28871767,631.15294165,1.34185225,1.26773655,500,130.33611465,247
formalfull,E2_ablation,LSCBO,no_phase2,W0_equal,default_4_to_1,LEVY,500,50,65,20,20,20,400,20,440,90.19047619,312.53436901,615.74850351,1.00503064,128.93259804,401.80061256,631.14478497,1.34448280,1.26948417,500,131.17495098,267
formalfull,E2_ablation,LSCBO,no_phase3,W0_equal,default_4_to_1,LEVY,500,50,65,20,20,20,400,20,440,90.19047619,312.53436901,615.74850351,1.00503064,126.26666667,395.17614481,629.21798567,1.32735080,1.25175159,500,128.39437500,268
formalfull,E2_ablation,LSCBO,ls_only,W0_equal,default_4_to_1,NONE,500,50,65,20,20,20,400,20,440,90.19047619,312.53436901,615.74850351,1.00503064,135.25000000,417.15868939,635.09906590,1.38747468,1.31158021,500,137.61655722,92
formalfull,E2_ablation,CBO,cbo_base,W0_equal,default_4_to_1,NONE,500,50,65,20,20,20,400,0,420,90.19047619,312.53436901,615.74850351,1.00503064,180.14396887,516.14597988,644.92380552,1.77640740,1.61593886,500,182.72389105,114
formalfull,E2_ablation,LSCBO,no_levy,W0_equal,default_4_to_1,NONE,500,50,65,20,20,20,400,20,440,90.19047619,312.53436901,615.74850351,1.00503064,147.29411765,443.43556611,637.23200283,1.49792002,1.39432375,500,149.77857963,215
formalfull,E2_ablation,LSCBO,no_local_search,W0_equal,default_4_to_1,LEVY,1000,50,65,20,20,20,400,0,420,181.70410729,630.41964877,1244.23546544,1.00197479,382.45992366,1087.36913085,1313.91022178,1.82806347,1.67753565,1000,388.33641221,479
formalfull,E2_ablation,LSCBO,LSCBO_full,W0_equal,default_4_to_1,LEVY,1000,50,65,20,20,20,400,20,440,181.70410729,630.41964877,1244.23546544,1.00197479,347.76094891,1011.34944760,1307.19594729,1.68382631,1.56231085,1000,353.37476190,574
formalfull,E2_ablation,LSCBO,no_phase2,W0_equal,default_4_to_1,LEVY,1000,50,65,20,20,20,400,20,440,181.70410729,630.41964877,1244.23546544,1.00197479,291.02919708,883.35123031,1289.54322550,1.45901902,1.37385863,1000,295.19759124,857
formalfull,E2_ablation,LSCBO,no_phase3,W0_equal,default_4_to_1,LEVY,1000,50,65,20,20,20,400,20,440,181.70410729,630.41964877,1244.23546544,1.00197479,271.11234397,841.67011767,1289.20542193,1.36009104,1.30517552,1000,275.25840499,577
formalfull,E2_ablation,LSCBO,ls_only,W0_equal,default_4_to_1,NONE,1000,50,65,20,20,20,400,20,440,181.70410729,630.41964877,1244.23546544,1.00197479,288.47445255,878.07683102,1289.62959876,1.44596085,1.36501127,1000,292.38761964,629
formalfull,E2_ablation,CBO,cbo_base,W0_equal,default_4_to_1,NONE,1000,50,65,20,20,20,400,0,420,181.70410729,630.41964877,1244.23546544,1.00197479,379.81277860,1081.99081829,1314.15605316,1.81455792,1.66844037,1000,383.77270431,578
formalfull,E2_ablation,LSCBO,no_levy,W0_equal,default_4_to_1,NONE,1000,50,65,20,20,20,400,20,440,181.70410729,630.41964877,1244.23546544,1.00197479,297.97417504,897.93658578,1289.75319803,1.49320760,1.39777044,1000,302.80823529,571
formalfull,E2_ablation,LSCBO,no_local_search,W0_equal,default_4_to_1,LEVY,2000,50,65,20,20,20,400,0,420,369.24037955,1281.51569529,2530.51677821,1.00111067,753.74045802,2159.90740714,2669.74656529,1.77550118,1.63882771,2000,764.84877136,948
