vmProfile,algorithm,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
heterogeneous_20_to_1,CBO,90,229.87383474,795.53111574,1732.96748875,0.00421468,0.99940328
heterogeneous_20_to_1,GREEDY_LPT,90,229.86706531,795.5326931,1732.96476096,0.00421858,1.0
heterogeneous_20_to_1,LSCBO,90,229.86517972,795.44977993,1732.87012659,0.00413505,0.99447323
medium_5_to_1,CBO,90,206.51380317,715.23263665,1540.10688341,0.00247504,1.0
medium_5_to_1,GREEDY_LPT,90,206.51380317,715.23263665,1540.10688341,0.00247504,1.0
medium_5_to_1,LSCBO,90,206.51234705,715.17670536,1540.06129961,0.00233676,0.98562532
near_homogeneous_1_5_to_1,CBO,90,148.53693425,514.49061267,1106.45898608,0.00199401,1.0
near_homogeneous_1_5_to_1,GREEDY_LPT,90,148.53693425,514.49061267,1106.45898608,0.00199401,1.0
near_homogeneous_1_5_to_1,LSCBO,90,148.53693425,514.49058467,1106.45884278,0.00195843,0.99725784
