variant,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
LSCBO_full,150,291.53727863,1010.39758944,2193.57471895,0.00367127,0.98352671
cbo_base,150,291.53909836,1010.45103119,2193.61441473,0.00393407,1.0
greedy_reference,150,291.53909836,1010.45103119,2193.61441473,0.00393407,1.0
ls_only,150,291.53727863,1010.39758944,2193.57471895,0.00367127,0.98352671
no_levy,150,291.53727863,1010.39758944,2193.57471895,0.00367127,0.98352671
no_local_search,150,291.53909836,1010.45103119,2193.61441473,0.00393407,1.0
objective_only_pair_ls,150,291.51980897,1010.62133767,2193.70174091,0.00233722,0.89935134
pareto_relocate_ls,150,291.53909836,1010.45103119,2193.61441473,0.00393407,1.0
