algorithm,rank_makespan,blocks_makespan,rank_energy,blocks_energy,rank_cost,blocks_cost,rank_imbalance,blocks_imbalance,rank_objective,blocks_objective
LSCBO,3.316667,150,1.006667,150,1.0,150,1.006667,150,1.006667,150
CBO,4.133333,150,4.473333,150,4.513333,150,4.48,150,4.48,150
PSO,4.11,150,4.52,150,4.513333,150,4.486667,150,4.486667,150
GWO,4.11,150,4.5,150,4.493333,150,4.506667,150,4.506667,150
WOA,4.11,150,4.5,150,4.493333,150,4.506667,150,4.506667,150
AOA,4.11,150,4.5,150,4.493333,150,4.506667,150,4.506667,150
GREEDY_LPT,4.11,150,4.5,150,4.493333,150,4.506667,150,4.506667,150
