Stage,TaskCount,Seed,Makespan,LoadBalanceRatio
V1_CBO_orig,5000,44,3050.7598,1.3605
V2_addLevy,5000,44,2971.1983,1.3167
V3_addDynW,5000,44,3013.5686,1.3563
V4_addStaged,5000,44,3978.7509,1.5332
V5_addLS,5000,44,3642.3373,1.5452
V1_CBO_orig,5000,45,1536.4333,0.9203
V2_addLevy,5000,45,1587.6701,0.9050
V3_addDynW,5000,45,1589.1593,0.9018
V4_addStaged,5000,45,2000.7376,1.0367
V5_addLS,5000,45,1562.2861,0.8209
V1_CBO_orig,5000,46,3102.8102,1.1887
V2_addLevy,5000,46,2684.6517,1.0991
V3_addDynW,5000,46,2783.7850,1.1640
V4_addStaged,5000,46,3513.0286,1.1411
V5_addLS,5000,46,2363.8146,0.9149
V1_CBO_orig,5000,47,1806.7119,1.0155
V2_addLevy,5000,47,1989.5630,1.0055
V3_addDynW,5000,47,2070.5497,1.0807
V4_addStaged,5000,47,2625.0241,1.2923
V5_addLS,5000,47,1618.7967,0.9424
V1_CBO_orig,5000,48,2245.2336,1.0040
V2_addLevy,5000,48,2012.0967,0.9828
V3_addDynW,5000,48,1962.9692,0.9676
V4_addStaged,5000,48,2592.5807,0.9618
V5_addLS,5000,48,1598.7375,0.7488
V1_CBO_orig,5000,49,1868.3161,1.0105
V2_addLevy,5000,49,1817.5785,0.8965
V3_addDynW,5000,49,1791.0852,0.8359
V4_addStaged,5000,49,2098.1600,1.0760
V5_addLS,5000,49,1737.4714,0.8207
V1_CBO_orig,5000,50,2526.7349,1.2437
V2_addLevy,5000,50,2590.4602,1.3058
V3_addDynW,5000,50,2321.9816,1.1940
V4_addStaged,5000,50,3454.5589,1.4642
V5_addLS,5000,50,2025.0274,1.1489
V1_CBO_orig,5000,51,2080.2512,1.1547
V2_addLevy,5000,51,2221.9894,0.8533
V3_addDynW,5000,51,2269.7737,0.8514
V4_addStaged,5000,51,2525.5376,0.8916
V5_addLS,5000,51,1684.2617,0.7360
V1_CBO_orig,5000,52,3332.4620,1.1484
V2_addLevy,5000,52,3144.3905,1.0475
V3_addDynW,5000,52,3144.4778,1.1384
V4_addStaged,5000,52,3759.9111,1.3376
V5_addLS,5000,52,3464.8388,1.2723
V1_CBO_orig,5000,53,2781.6873,1.3568
V2_addLevy,5000,53,2645.8950,1.3024
V3_addDynW,5000,53,2989.1303,0.9444
V4_addStaged,5000,53,3105.9530,0.9484
V5_addLS,5000,53,1505.5846,0.6265
V1_CBO_orig,5000,54,1741.6907,0.8120
V2_addLevy,5000,54,1823.5396,0.7290
V3_addDynW,5000,54,1746.5058,0.7502
V4_addStaged,5000,54,2681.1422,0.9089
V5_addLS,5000,54,1459.1280,0.6362
V1_CBO_orig,5000,55,2259.6953,0.7805
V2_addLevy,5000,55,1908.8987,0.7472
V3_addDynW,5000,55,1928.2691,0.7132
V4_addStaged,5000,55,2259.6953,0.7805
V5_addLS,5000,55,1208.5840,0.5695
V1_CBO_orig,5000,56,2138.9084,0.9797
V2_addLevy,5000,56,2217.1603,0.9784
V3_addDynW,5000,56,2300.3228,1.0769
V4_addStaged,5000,56,2626.2317,1.1970
V5_addLS,5000,56,1941.9848,0.8079
V1_CBO_orig,5000,57,3317.4108,1.0165
V2_addLevy,5000,57,2564.7261,0.9471
V3_addDynW,5000,57,2512.3370,0.9291
V4_addStaged,5000,57,2951.8570,1.0076
V5_addLS,5000,57,1795.2036,0.8342
V1_CBO_orig,5000,58,1747.0213,0.7977
V2_addLevy,5000,58,1394.5450,0.7141
V3_addDynW,5000,58,1436.8129,0.7360
V4_addStaged,5000,58,1880.2756,0.8439
V5_addLS,5000,58,1368.7278,0.7066
V1_CBO_orig,5000,59,1773.1926,0.8421
V2_addLevy,5000,59,1612.8392,0.8380
V3_addDynW,5000,59,1599.3017,0.8188
V4_addStaged,5000,59,1690.3957,0.7995
V5_addLS,5000,59,1250.0459,0.6934
V1_CBO_orig,5000,60,2314.2928,1.1636
V2_addLevy,5000,60,2088.0865,0.9856
V3_addDynW,5000,60,2361.2708,1.1196
V4_addStaged,5000,60,2338.3675,1.1666
V5_addLS,5000,60,1382.5856,0.6731
V1_CBO_orig,5000,61,3439.2708,0.9899
V2_addLevy,5000,61,2840.8344,0.8931
V3_addDynW,5000,61,2853.7213,0.8767
V4_addStaged,5000,61,3151.8677,0.9168
V5_addLS,5000,61,2013.1725,0.7349
V1_CBO_orig,5000,62,1648.1480,0.6882
V2_addLevy,5000,62,1097.9852,0.6197
V3_addDynW,5000,62,1331.0099,0.6985
V4_addStaged,5000,62,1691.8112,0.6196
V5_addLS,5000,62,693.9529,0.3816
V1_CBO_orig,5000,63,7133.0860,1.4356
V2_addLevy,5000,63,4763.3111,1.2292
V3_addDynW,5000,63,4822.0214,1.2413
V4_addStaged,5000,63,6167.7884,1.3252
V5_addLS,5000,63,3396.4923,1.0908
V1_CBO_orig,5000,64,2771.0434,0.8432
V2_addLevy,5000,64,2378.6756,0.7574
V3_addDynW,5000,64,2263.3186,0.7425
V4_addStaged,5000,64,2481.8265,0.7113
V5_addLS,5000,64,1472.3596,0.5703
V1_CBO_orig,5000,65,2259.7838,1.1261
V2_addLevy,5000,65,2445.7021,1.1558
V3_addDynW,5000,65,2443.2376,1.1778
V4_addStaged,5000,65,2543.3797,1.2173
V5_addLS,5000,65,2240.7710,0.9077
V1_CBO_orig,5000,66,3344.9619,1.1966
V2_addLevy,5000,66,2459.4648,1.0216
V3_addDynW,5000,66,2568.6317,1.0509
V4_addStaged,5000,66,3612.2743,1.1849
V5_addLS,5000,66,2265.1529,0.9475
V1_CBO_orig,5000,67,2391.3558,1.0974
V2_addLevy,5000,67,1895.9671,0.9769
V3_addDynW,5000,67,1998.8585,1.0001
V4_addStaged,5000,67,2761.4834,1.3292
V5_addLS,5000,67,1803.5040,0.8275
V1_CBO_orig,5000,68,1555.0877,0.7025
V2_addLevy,5000,68,1398.4682,0.6557
V3_addDynW,5000,68,1326.9000,0.6311
V4_addStaged,5000,68,1472.7728,0.6480
V5_addLS,5000,68,1024.8324,0.5277
V1_CBO_orig,5000,69,1170.8628,0.5835
V2_addLevy,5000,69,1052.0407,0.5332
V3_addDynW,5000,69,1038.1903,0.5513
V4_addStaged,5000,69,1435.3587,0.6662
V5_addLS,5000,69,955.4460,0.4884
V1_CBO_orig,5000,70,2154.4730,1.1505
V2_addLevy,5000,70,2324.1153,1.0883
V3_addDynW,5000,70,2864.1366,1.0361
V4_addStaged,5000,70,4400.2842,1.2342
V5_addLS,5000,70,2025.3813,0.8284
V1_CBO_orig,5000,71,2333.1435,0.9660
V2_addLevy,5000,71,2271.7490,1.0354
V3_addDynW,5000,71,2200.7979,0.8749
V4_addStaged,5000,71,3040.3991,1.2941
V5_addLS,5000,71,1588.3197,0.6981
V1_CBO_orig,5000,72,4349.4843,1.2281
V2_addLevy,5000,72,4158.4175,1.2764
V3_addDynW,5000,72,4075.0246,1.2236
V4_addStaged,5000,72,3870.0234,1.2319
V5_addLS,5000,72,3786.7335,1.1496
