Iteration,BestFitness,Time,Load,Price
0,15.540007,283.976000,61.143112,44896.253333
1,15.540007,283.976000,61.143112,44896.253333
2,15.540007,283.976000,61.143112,44896.253333
3,15.540007,283.976000,61.143112,44896.253333
4,15.540007,283.976000,61.143112,44896.253333
5,15.540007,283.976000,61.143112,44896.253333
6,15.540007,283.976000,61.143112,44896.253333
7,15.540007,283.976000,61.143112,44896.253333
8,15.540007,283.976000,61.143112,44896.253333
9,15.476265,262.111000,60.955129,42571.069333
10,15.476265,262.111000,60.955129,42571.069333
11,15.476265,262.111000,60.955129,42571.069333
12,15.297480,254.800000,60.251216,42910.328000
13,15.297480,254.800000,60.251216,42910.328000
14,15.297480,254.800000,60.251216,42910.328000
15,15.297480,254.800000,60.251216,42910.328000
16,15.297480,254.800000,60.251216,42910.328000
17,15.297480,254.800000,60.251216,42910.328000
18,15.257879,260.916000,60.072351,43733.360000
19,15.105114,227.384000,59.525056,44063.045333
