Iteration,BestFitness,Time,Load,Price
0,374.110609,144.315000,20.196436,1187.616000
1,370.870895,144.908000,20.283582,1173.384000
2,370.870895,144.908000,20.283582,1173.384000
3,370.870895,144.908000,20.283582,1173.384000
4,370.870895,144.908000,20.283582,1173.384000
5,370.870895,144.908000,20.283582,1173.384000
6,370.870895,144.908000,20.283582,1173.384000
7,370.870895,144.908000,20.283582,1173.384000
8,370.870895,144.908000,20.283582,1173.384000
9,370.870895,144.908000,20.283582,1173.384000
10,370.870895,144.908000,20.283582,1173.384000
11,370.870895,144.908000,20.283582,1173.384000
12,370.870895,144.908000,20.283582,1173.384000
13,370.870895,144.908000,20.283582,1173.384000
14,370.870895,144.908000,20.283582,1173.384000
15,370.870895,144.908000,20.283582,1173.384000
16,370.870895,144.908000,20.283582,1173.384000
17,370.870895,144.908000,20.283582,1173.384000
18,370.870895,144.908000,20.283582,1173.384000
19,370.870895,144.908000,20.283582,1173.384000
20,370.870895,144.908000,20.283582,1173.384000
21,370.870895,144.908000,20.283582,1173.384000
22,370.870895,144.908000,20.283582,1173.384000
23,370.870895,144.908000,20.283582,1173.384000
24,370.870895,144.908000,20.283582,1173.384000
25,370.870895,144.908000,20.283582,1173.384000
26,370.870895,144.908000,20.283582,1173.384000
27,370.870895,144.908000,20.283582,1173.384000
28,370.870895,144.908000,20.283582,1173.384000
29,370.870895,144.908000,20.283582,1173.384000
30,370.870895,144.908000,20.283582,1173.384000
31,370.870895,144.908000,20.283582,1173.384000
32,370.870895,144.908000,20.283582,1173.384000
33,370.870895,144.908000,20.283582,1173.384000
34,370.870895,144.908000,20.283582,1173.384000
35,370.870895,144.908000,20.283582,1173.384000
36,370.870895,144.908000,20.283582,1173.384000
37,370.870895,144.908000,20.283582,1173.384000
38,370.870895,144.908000,20.283582,1173.384000
39,370.870895,144.908000,20.283582,1173.384000
40,370.870895,144.908000,20.283582,1173.384000
41,370.870895,144.908000,20.283582,1173.384000
42,370.870895,144.908000,20.283582,1173.384000
43,370.870895,144.908000,20.283582,1173.384000
44,370.870895,144.908000,20.283582,1173.384000
45,370.870895,144.908000,20.283582,1173.384000
46,370.870895,144.908000,20.283582,1173.384000
47,370.870895,144.908000,20.283582,1173.384000
48,370.870895,144.908000,20.283582,1173.384000
49,370.870895,144.908000,20.283582,1173.384000
