Iteration,BestFitness,Time,Load,Price
0,12.396069,229.800000,48.749960,37471.509333
1,12.396069,229.800000,48.749960,37471.509333
2,12.396069,229.800000,48.749960,37471.509333
3,12.396069,229.800000,48.749960,37471.509333
4,12.396069,229.800000,48.749960,37471.509333
5,12.396069,229.800000,48.749960,37471.509333
6,12.396069,229.800000,48.749960,37471.509333
7,12.396069,229.800000,48.749960,37471.509333
8,12.396069,229.800000,48.749960,37471.509333
9,12.396069,229.800000,48.749960,37471.509333
10,12.396069,229.800000,48.749960,37471.509333
11,12.396069,229.800000,48.749960,37471.509333
12,12.396069,229.800000,48.749960,37471.509333
13,12.396069,229.800000,48.749960,37471.509333
14,12.396069,229.800000,48.749960,37471.509333
15,12.319402,225.344000,48.460886,36603.386667
16,12.319402,225.344000,48.460886,36603.386667
17,12.319402,225.344000,48.460886,36603.386667
18,12.070363,211.840000,47.489857,36791.392000
19,11.846444,206.592000,46.608036,36455.421333
