Iteration,BestFitness,Time,Load,Price
0,501.704278,15.448000,3.873110,1972.048000
1,501.704278,15.448000,3.873110,1972.048000
2,501.704278,15.448000,3.873110,1972.048000
3,486.286942,14.996000,3.641101,1911.514667
4,486.286942,14.996000,3.641101,1911.514667
5,486.286942,14.996000,3.641101,1911.514667
6,486.286942,14.996000,3.641101,1911.514667
7,486.286942,14.996000,3.641101,1911.514667
8,486.286942,14.996000,3.641101,1911.514667
9,483.669640,20.440000,4.505225,1889.293333
10,483.669640,20.440000,4.505225,1889.293333
11,483.669640,20.440000,4.505225,1889.293333
12,483.669640,20.440000,4.505225,1889.293333
13,483.669640,20.440000,4.505225,1889.293333
14,483.669640,20.440000,4.505225,1889.293333
15,483.669640,20.440000,4.505225,1889.293333
16,483.669640,20.440000,4.505225,1889.293333
17,475.120490,13.220000,3.252625,1870.789333
18,475.120490,13.220000,3.252625,1870.789333
19,475.120490,13.220000,3.252625,1870.789333
20,475.120490,13.220000,3.252625,1870.789333
21,475.120490,13.220000,3.252625,1870.789333
22,475.120490,13.220000,3.252625,1870.789333
23,475.120490,13.220000,3.252625,1870.789333
24,475.120490,13.220000,3.252625,1870.789333
25,475.120490,13.220000,3.252625,1870.789333
26,475.120490,13.220000,3.252625,1870.789333
27,468.267421,16.944000,3.808349,1835.373333
28,451.307381,19.054667,4.042858,1763.077333
29,451.307381,19.054667,4.042858,1763.077333
30,451.307381,19.054667,4.042858,1763.077333
31,451.307381,19.054667,4.042858,1763.077333
32,451.307381,19.054667,4.042858,1763.077333
33,451.307381,19.054667,4.042858,1763.077333
34,451.307381,19.054667,4.042858,1763.077333
35,451.307381,19.054667,4.042858,1763.077333
36,451.307381,19.054667,4.042858,1763.077333
37,451.307381,19.054667,4.042858,1763.077333
38,451.307381,19.054667,4.042858,1763.077333
39,451.307381,19.054667,4.042858,1763.077333
40,451.307381,19.054667,4.042858,1763.077333
41,451.307381,19.054667,4.042858,1763.077333
42,451.307381,19.054667,4.042858,1763.077333
43,451.307381,19.054667,4.042858,1763.077333
44,451.307381,19.054667,4.042858,1763.077333
45,451.307381,19.054667,4.042858,1763.077333
46,451.307381,19.054667,4.042858,1763.077333
47,451.307381,19.054667,4.042858,1763.077333
48,451.307381,19.054667,4.042858,1763.077333
49,451.307381,19.054667,4.042858,1763.077333
