Iteration,BestFitness,Time,Load,Price
0,5.100682,81.192000,20.111872,12847.085333
1,5.100682,81.192000,20.111872,12847.085333
2,5.100682,81.192000,20.111872,12847.085333
3,5.100682,81.192000,20.111872,12847.085333
4,5.100682,81.192000,20.111872,12847.085333
5,5.100682,81.192000,20.111872,12847.085333
6,5.100682,81.192000,20.111872,12847.085333
7,5.100682,81.192000,20.111872,12847.085333
8,5.100682,81.192000,20.111872,12847.085333
9,5.003388,90.516000,19.705981,12654.018667
10,4.814020,103.714667,18.933169,11548.005333
11,4.814020,103.714667,18.933169,11548.005333
12,4.756598,81.885333,18.744327,11829.453333
13,4.756598,81.885333,18.744327,11829.453333
14,4.156520,71.684000,16.363704,11900.954667
15,4.156520,71.684000,16.363704,11900.954667
16,4.156520,71.684000,16.363704,11900.954667
17,4.116598,68.136000,16.209435,12068.578667
18,4.116598,68.136000,16.209435,12068.578667
19,4.116598,68.136000,16.209435,12068.578667
