Iteration,BestFitness,Time,Load,Price
0,1178.225682,34.145420,5.920090,4638.691797
1,1178.225682,34.145420,5.920090,4638.691797
2,1178.225682,34.145420,5.920090,4638.691797
3,1178.225682,34.145420,5.920090,4638.691797
4,1178.225682,34.145420,5.920090,4638.691797
5,1178.225682,34.145420,5.920090,4638.691797
6,1178.225682,34.145420,5.920090,4638.691797
7,1178.225682,34.145420,5.920090,4638.691797
8,1178.225682,34.145420,5.920090,4638.691797
9,1178.225682,34.145420,5.920090,4638.691797
10,1178.225682,34.145420,5.920090,4638.691797
11,1178.225682,34.145420,5.920090,4638.691797
12,1178.225682,34.145420,5.920090,4638.691797
13,1178.225682,34.145420,5.920090,4638.691797
14,1178.225682,34.145420,5.920090,4638.691797
15,1178.225682,34.145420,5.920090,4638.691797
16,1178.225682,34.145420,5.920090,4638.691797
17,1178.225682,34.145420,5.920090,4638.691797
18,1178.225682,34.145420,5.920090,4638.691797
19,1178.225682,34.145420,5.920090,4638.691797
20,1178.225682,34.145420,5.920090,4638.691797
21,1178.225682,34.145420,5.920090,4638.691797
22,1170.343383,50.486383,7.203265,4573.197500
23,1170.343383,50.486383,7.203265,4573.197500
24,1170.343383,50.486383,7.203265,4573.197500
25,1170.343383,50.486383,7.203265,4573.197500
26,1170.343383,50.486383,7.203265,4573.197500
27,1170.343383,50.486383,7.203265,4573.197500
28,1170.343383,50.486383,7.203265,4573.197500
29,1170.343383,50.486383,7.203265,4573.197500
30,1170.343383,50.486383,7.203265,4573.197500
31,1170.343383,50.486383,7.203265,4573.197500
32,1170.343383,50.486383,7.203265,4573.197500
33,1170.343383,50.486383,7.203265,4573.197500
34,1170.343383,50.486383,7.203265,4573.197500
35,1170.343383,50.486383,7.203265,4573.197500
36,1170.343383,50.486383,7.203265,4573.197500
37,1170.343383,50.486383,7.203265,4573.197500
38,1167.191199,46.395604,6.820541,4569.153046
39,1167.191199,46.395604,6.820541,4569.153046
40,1167.191199,46.395604,6.820541,4569.153046
41,1167.191199,46.395604,6.820541,4569.153046
42,1167.191199,46.395604,6.820541,4569.153046
43,1167.191199,46.395604,6.820541,4569.153046
44,1167.191199,46.395604,6.820541,4569.153046
45,1167.191199,46.395604,6.820541,4569.153046
46,1161.959533,28.145665,5.679627,4585.867176
47,1142.945435,36.079312,5.419292,4494.203825
48,1100.905580,19.792976,4.276082,4359.760287
49,1096.394428,18.689002,4.115223,4344.084485
