Iteration,BestFitness,Time,Load,Price
0,482.055970,92.753333,13.018548,1729.698667
1,480.876014,92.753333,13.021388,1724.976000
2,480.876014,92.753333,13.021388,1724.976000
3,470.137336,92.753333,13.029343,1682.013333
4,470.137336,92.753333,13.029343,1682.013333
5,470.137336,92.753333,13.029343,1682.013333
6,468.619470,92.753333,13.008546,1675.962667
7,468.619470,92.753333,13.008546,1675.962667
8,460.103269,92.753333,12.954407,1641.952000
9,460.103269,92.753333,12.954407,1641.952000
10,459.640823,92.753333,12.923292,1640.133333
11,452.267257,92.753333,12.946363,1610.616000
12,452.267257,92.753333,12.946363,1610.616000
13,452.267257,92.753333,12.946363,1610.616000
14,452.267257,92.753333,12.946363,1610.616000
15,452.267257,92.753333,12.946363,1610.616000
16,452.267257,92.753333,12.946363,1610.616000
17,452.267257,92.753333,12.946363,1610.616000
18,452.267257,92.753333,12.946363,1610.616000
19,452.267257,92.753333,12.946363,1610.616000
20,444.799767,92.753333,12.921734,1580.770667
21,444.799767,92.753333,12.921734,1580.770667
22,440.551858,92.753333,12.954100,1563.746667
23,440.551858,92.753333,12.954100,1563.746667
24,440.551858,92.753333,12.954100,1563.746667
25,440.551858,92.753333,12.954100,1563.746667
26,440.551858,92.753333,12.954100,1563.746667
27,440.551858,92.753333,12.954100,1563.746667
28,440.551858,92.753333,12.954100,1563.746667
29,440.551858,92.753333,12.954100,1563.746667
30,440.551858,92.753333,12.954100,1563.746667
31,440.551858,92.753333,12.954100,1563.746667
32,440.551858,92.753333,12.954100,1563.746667
33,440.551858,92.753333,12.954100,1563.746667
34,440.551858,92.753333,12.954100,1563.746667
35,440.551858,92.753333,12.954100,1563.746667
36,440.551858,92.753333,12.954100,1563.746667
37,440.551858,92.753333,12.954100,1563.746667
38,440.551858,92.753333,12.954100,1563.746667
39,439.134475,92.753333,12.948568,1558.082667
40,439.134475,92.753333,12.948568,1558.082667
41,439.134475,92.753333,12.948568,1558.082667
42,439.134475,92.753333,12.948568,1558.082667
43,439.134475,92.753333,12.948568,1558.082667
44,439.134475,92.753333,12.948568,1558.082667
45,439.134475,92.753333,12.948568,1558.082667
46,439.134475,92.753333,12.948568,1558.082667
47,439.134475,92.753333,12.948568,1558.082667
48,439.134475,92.753333,12.948568,1558.082667
49,439.134475,92.753333,12.948568,1558.082667
