Iteration,BestFitness,Time,Load,Price
0,11.863299,220.508000,46.646324,36585.613333
1,11.863299,220.508000,46.646324,36585.613333
2,11.863299,220.508000,46.646324,36585.613333
3,11.863299,220.508000,46.646324,36585.613333
4,11.863299,220.508000,46.646324,36585.613333
5,11.863299,220.508000,46.646324,36585.613333
6,11.863299,220.508000,46.646324,36585.613333
7,11.863299,220.508000,46.646324,36585.613333
8,11.863299,220.508000,46.646324,36585.613333
9,11.863299,220.508000,46.646324,36585.613333
10,11.863299,220.508000,46.646324,36585.613333
11,11.863299,220.508000,46.646324,36585.613333
12,11.863299,220.508000,46.646324,36585.613333
13,11.863299,220.508000,46.646324,36585.613333
14,11.863299,220.508000,46.646324,36585.613333
15,11.863299,220.508000,46.646324,36585.613333
16,11.863299,220.508000,46.646324,36585.613333
17,11.863299,220.508000,46.646324,36585.613333
18,10.851021,196.616000,42.647192,36365.818667
19,10.851021,196.616000,42.647192,36365.818667
