Iteration,BestFitness,Time,Load,Price
0,6.947204,114.164000,27.355244,20524.394667
1,6.947204,114.164000,27.355244,20524.394667
2,6.947204,114.164000,27.355244,20524.394667
3,6.947204,114.164000,27.355244,20524.394667
4,6.947204,114.164000,27.355244,20524.394667
5,6.947204,114.164000,27.355244,20524.394667
6,6.947204,114.164000,27.355244,20524.394667
7,6.947204,114.164000,27.355244,20524.394667
8,6.801272,117.412000,26.778037,19222.784000
9,6.801272,117.412000,26.778037,19222.784000
10,6.801272,117.412000,26.778037,19222.784000
11,6.801272,117.412000,26.778037,19222.784000
12,6.258286,109.488000,24.622549,19161.834667
13,6.258286,109.488000,24.622549,19161.834667
14,6.254106,99.272000,24.625650,19223.106667
15,6.254106,99.272000,24.625650,19223.106667
16,6.254106,99.272000,24.625650,19223.106667
17,6.094826,116.988000,23.950024,19530.549333
18,6.094826,116.988000,23.950024,19530.549333
19,5.732855,98.700000,22.539160,19485.853333
