Iteration,BestFitness,Time,Load,Price
0,235.791992,5.857790,1.030441,930.421949
1,235.791992,5.857790,1.030441,930.421949
2,235.791992,5.857790,1.030441,930.421949
3,235.791992,5.857790,1.030441,930.421949
4,235.791992,5.857790,1.030441,930.421949
5,235.791992,5.857790,1.030441,930.421949
6,235.791992,5.857790,1.030441,930.421949
7,235.791992,5.857790,1.030441,930.421949
8,235.791992,5.857790,1.030441,930.421949
9,235.791992,5.857790,1.030441,930.421949
10,235.791992,5.857790,1.030441,930.421949
11,235.791992,5.857790,1.030441,930.421949
12,235.791992,5.857790,1.030441,930.421949
13,235.791992,5.857790,1.030441,930.421949
14,235.791992,5.857790,1.030441,930.421949
15,235.791992,5.857790,1.030441,930.421949
16,235.561122,8.580984,1.247465,923.835054
17,235.561122,8.580984,1.247465,923.835054
18,235.561122,8.580984,1.247465,923.835054
19,235.561122,8.580984,1.247465,923.835054
20,235.561122,8.580984,1.247465,923.835054
21,235.561122,8.580984,1.247465,923.835054
22,235.561122,8.580984,1.247465,923.835054
23,235.561122,8.580984,1.247465,923.835054
24,235.561122,8.580984,1.247465,923.835054
25,234.381615,11.602484,1.577698,912.743792
26,234.381615,11.602484,1.577698,912.743792
27,234.381615,11.602484,1.577698,912.743792
28,234.381615,11.602484,1.577698,912.743792
29,234.381615,11.602484,1.577698,912.743792
30,234.381615,11.602484,1.577698,912.743792
31,234.381615,11.602484,1.577698,912.743792
32,234.381615,11.602484,1.577698,912.743792
33,234.381615,11.602484,1.577698,912.743792
34,234.381615,11.602484,1.577698,912.743792
35,234.381615,11.602484,1.577698,912.743792
36,234.381615,11.602484,1.577698,912.743792
37,234.381615,11.602484,1.577698,912.743792
38,232.715182,12.915910,1.774927,903.253982
39,232.715182,12.915910,1.774927,903.253982
40,232.715182,12.915910,1.774927,903.253982
41,232.715182,12.915910,1.774927,903.253982
42,232.715182,12.915910,1.774927,903.253982
43,232.715182,12.915910,1.774927,903.253982
44,232.715182,12.915910,1.774927,903.253982
45,232.715182,12.915910,1.774927,903.253982
46,232.715182,12.915910,1.774927,903.253982
47,232.715182,12.915910,1.774927,903.253982
48,232.715182,12.915910,1.774927,903.253982
49,232.715182,12.915910,1.774927,903.253982
50,232.715182,12.915910,1.774927,903.253982
51,232.715182,12.915910,1.774927,903.253982
52,232.715182,12.915910,1.774927,903.253982
53,232.715182,12.915910,1.774927,903.253982
54,232.715182,12.915910,1.774927,903.253982
55,232.715182,12.915910,1.774927,903.253982
56,230.851932,8.807453,1.241050,904.551771
57,230.851932,8.807453,1.241050,904.551771
58,230.851932,8.807453,1.241050,904.551771
59,230.851932,8.807453,1.241050,904.551771
60,230.851932,8.807453,1.241050,904.551771
61,230.851932,8.807453,1.241050,904.551771
62,230.851932,8.807453,1.241050,904.551771
63,230.851932,8.807453,1.241050,904.551771
64,230.851932,8.807453,1.241050,904.551771
65,230.851932,8.807453,1.241050,904.551771
66,230.851932,8.807453,1.241050,904.551771
67,230.851932,8.807453,1.241050,904.551771
68,230.851932,8.807453,1.241050,904.551771
69,230.851932,8.807453,1.241050,904.551771
70,230.851932,8.807453,1.241050,904.551771
71,230.353671,8.836598,1.269383,902.472104
72,230.353671,8.836598,1.269383,902.472104
73,230.353671,8.836598,1.269383,902.472104
74,230.353671,8.836598,1.269383,902.472104
75,230.353671,8.836598,1.269383,902.472104
76,230.353671,8.836598,1.269383,902.472104
77,230.353671,8.836598,1.269383,902.472104
78,230.263693,9.006211,1.288343,901.754008
79,230.263693,9.006211,1.288343,901.754008
80,230.263693,9.006211,1.288343,901.754008
81,230.263693,9.006211,1.288343,901.754008
82,227.215977,9.632107,1.314248,888.285445
83,227.215977,9.632107,1.314248,888.285445
84,227.215977,9.632107,1.314248,888.285445
85,227.215977,9.632107,1.314248,888.285445
86,227.215977,9.632107,1.314248,888.285445
87,227.215977,9.632107,1.314248,888.285445
88,227.215977,9.632107,1.314248,888.285445
89,227.215977,9.632107,1.314248,888.285445
90,227.215977,9.632107,1.314248,888.285445
91,227.215977,9.632107,1.314248,888.285445
92,226.962673,9.454849,1.278881,887.662114
93,226.962673,9.454849,1.278881,887.662114
94,226.962673,9.454849,1.278881,887.662114
95,226.361540,9.454849,1.288541,885.247921
96,226.361540,9.454849,1.288541,885.247921
97,226.361540,9.454849,1.288541,885.247921
98,226.221318,9.164357,1.272571,885.283985
99,226.221318,9.164357,1.272571,885.283985
