Iteration,BestFitness,Time,Load,Price
0,15.540007,0.000000,0.000000,0.000000
1,15.477773,0.000000,0.000000,0.000000
2,15.477773,0.000000,0.000000,0.000000
3,15.477773,0.000000,0.000000,0.000000
4,15.477773,0.000000,0.000000,0.000000
5,15.477773,0.000000,0.000000,0.000000
6,15.477773,0.000000,0.000000,0.000000
7,15.477773,0.000000,0.000000,0.000000
8,15.477773,0.000000,0.000000,0.000000
9,15.477773,0.000000,0.000000,0.000000
10,15.477773,0.000000,0.000000,0.000000
11,15.477773,0.000000,0.000000,0.000000
12,15.477773,0.000000,0.000000,0.000000
13,15.477773,0.000000,0.000000,0.000000
14,15.477773,0.000000,0.000000,0.000000
15,15.477773,0.000000,0.000000,0.000000
16,15.477773,0.000000,0.000000,0.000000
17,15.477773,0.000000,0.000000,0.000000
18,15.477773,0.000000,0.000000,0.000000
19,14.779686,0.000000,0.000000,0.000000
