Iteration,BestFitness,Time,Load,Price
0,238.015845,0.000000,0.000000,0.000000
1,238.015845,5.731884,1.042676,939.556934
2,238.015845,5.731884,1.042676,939.556934
3,236.408219,6.298007,1.161722,931.875138
4,236.408219,6.298007,1.161722,931.875138
5,236.408219,6.298007,1.161722,931.875138
6,236.408219,6.298007,1.161722,931.875138
7,236.408219,6.298007,1.161722,931.875138
8,236.316913,6.456522,1.152986,931.201624
9,236.316913,6.456522,1.152986,931.201624
10,236.316913,6.456522,1.152986,931.201624
11,236.316913,6.456522,1.152986,931.201624
12,236.316913,6.456522,1.152986,931.201624
13,236.304548,6.456522,1.153001,931.152147
14,236.140819,6.456522,1.150585,930.499647
15,236.140819,6.456522,1.150585,930.499647
16,236.140819,6.456522,1.150585,930.499647
17,236.005069,6.298007,1.147133,930.277129
18,235.645366,6.298007,1.145372,928.840079
19,235.276090,4.814211,1.012627,930.463309
20,233.418131,5.329167,1.044789,921.969402
21,233.418131,5.329167,1.044789,921.969402
22,233.352549,5.329167,1.050952,921.700911
23,233.352549,5.329167,1.050952,921.700911
24,232.957698,5.329167,1.036110,920.136350
25,232.156502,5.055330,1.030537,917.484810
26,231.967955,5.055330,1.028495,916.732666
27,231.967955,5.055330,1.028495,916.732666
28,231.896643,5.055330,1.030298,916.445614
29,230.791126,4.771359,0.990606,912.631180
30,230.791126,4.771359,0.990606,912.631180
31,230.791126,4.771359,0.990606,912.631180
32,230.761331,4.771359,0.990417,912.512190
33,230.761331,4.771359,0.990417,912.512190
34,230.761331,4.771359,0.990417,912.512190
35,230.761331,4.771359,0.990417,912.512190
36,230.761331,4.771359,0.990417,912.512190
37,230.761331,4.771359,0.990417,912.512190
38,230.761331,4.771359,0.990417,912.512190
39,230.761331,4.771359,0.990417,912.512190
40,230.761331,4.771359,0.990417,912.512190
41,230.761331,4.771359,0.990417,912.512190
42,230.761331,4.771359,0.990417,912.512190
43,230.761331,4.771359,0.990417,912.512190
44,230.761331,4.771359,0.990417,912.512190
45,230.761331,4.771359,0.990417,912.512190
46,230.761331,4.771359,0.990417,912.512190
47,230.761331,4.771359,0.990417,912.512190
48,230.761331,4.771359,0.990417,912.512190
49,230.761331,4.771359,0.990417,912.512190
50,230.761331,4.771359,0.990417,912.512190
51,230.761331,4.771359,0.990417,912.512190
52,230.761331,4.771359,0.990417,912.512190
53,230.761331,4.771359,0.990417,912.512190
54,230.761331,4.771359,0.990417,912.512190
55,230.761331,4.771359,0.990417,912.512190
56,230.761331,4.771359,0.990417,912.512190
57,230.761331,4.771359,0.990417,912.512190
58,230.761331,4.771359,0.990417,912.512190
59,230.761331,4.771359,0.990417,912.512190
60,230.761331,4.771359,0.990417,912.512190
61,230.761331,4.771359,0.990417,912.512190
62,230.694693,5.009028,1.007216,911.753500
63,230.462819,5.009028,0.977308,910.855913
64,230.435979,5.009028,0.976784,910.749076
65,230.287393,5.009028,0.975974,910.155543
66,228.643815,4.584028,0.921284,904.485921
67,228.507325,4.584028,0.903034,903.958212
68,228.507325,4.584028,0.903034,903.958212
69,228.457583,4.584028,0.902990,903.759287
70,228.457583,4.584028,0.902990,903.759287
71,228.457583,4.584028,0.902990,903.759287
72,228.457583,4.584028,0.902990,903.759287
73,228.457583,4.584028,0.902990,903.759287
74,228.457583,4.584028,0.902990,903.759287
75,228.457583,4.584028,0.902990,903.759287
76,228.457583,4.584028,0.902990,903.759287
77,228.457583,4.584028,0.902990,903.759287
78,228.457583,4.584028,0.902990,903.759287
79,228.457583,4.584028,0.902990,903.759287
80,228.457583,4.584028,0.902990,903.759287
81,228.435876,4.584028,0.902219,903.673229
82,228.435876,4.584028,0.902219,903.673229
83,228.435876,4.584028,0.902219,903.673229
84,228.435876,4.584028,0.902219,903.673229
85,228.435876,4.584028,0.902219,903.673229
86,228.435876,4.584028,0.902219,903.673229
87,227.945361,4.584028,0.904657,901.708731
88,227.945361,4.584028,0.904657,901.708731
89,227.945361,4.584028,0.904657,901.708731
90,227.945361,4.584028,0.904657,901.708731
91,227.945361,4.584028,0.904657,901.708731
92,227.945361,4.584028,0.904657,901.708731
93,227.945361,4.584028,0.904657,901.708731
94,227.945361,4.584028,0.904657,901.708731
95,227.945361,4.584028,0.904657,901.708731
96,227.945361,4.584028,0.904657,901.708731
97,227.945361,4.584028,0.904657,901.708731
98,227.940116,4.584028,0.900901,901.691508
99,227.940116,4.584028,0.900901,901.691508
100,227.940116,4.584028,0.900901,901.691508
