Iteration,BestFitness,Time,Load,Price
0,2.154416,41.784000,8.471542,6255.352000
1,2.154416,41.784000,8.471542,6255.352000
2,2.154416,41.784000,8.471542,6255.352000
3,2.154416,41.784000,8.471542,6255.352000
4,2.154416,41.784000,8.471542,6255.352000
5,2.154416,41.784000,8.471542,6255.352000
6,2.154416,41.784000,8.471542,6255.352000
7,2.154416,41.784000,8.471542,6255.352000
8,2.154416,41.784000,8.471542,6255.352000
9,2.154416,41.784000,8.471542,6255.352000
10,2.154416,41.784000,8.471542,6255.352000
11,2.154416,41.784000,8.471542,6255.352000
12,2.154416,41.784000,8.471542,6255.352000
13,2.154416,41.784000,8.471542,6255.352000
14,2.154416,41.784000,8.471542,6255.352000
15,2.154416,41.784000,8.471542,6255.352000
16,2.154416,41.784000,8.471542,6255.352000
17,2.154416,41.784000,8.471542,6255.352000
18,2.020558,36.824000,7.945810,6277.213333
19,2.020558,36.824000,7.945810,6277.213333
