Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
LSCBO,100,1,43,25.568000,0.003217,0.036293,0.051715,3.659997
CBO,100,1,43,21.438000,0.003220,0.034176,0.325048,3.142599
PSO,100,1,43,20.642000,0.003144,0.037170,0.351817,2.772263
AOA,100,1,43,25.530000,0.003228,0.034652,0.147309,3.495658
GWO,100,1,43,21.549333,0.003206,0.035550,0.324307,3.008522
LSCBO,100,2,44,15.164000,0.003009,0.031057,0.315405,2.410355
CBO,100,2,44,13.552000,0.003042,0.031182,0.463400,2.240601
PSO,100,2,44,15.400000,0.002964,0.030677,0.482269,2.306461
AOA,100,2,44,21.918000,0.003094,0.025765,0.320098,3.694210
GWO,100,2,44,15.409000,0.003060,0.026257,0.481131,2.490638
LSCBO,100,3,45,13.524000,0.003077,0.030162,0.330645,2.456508
CBO,100,3,45,15.434000,0.003067,0.027928,0.384548,2.773355
PSO,100,3,45,12.430667,0.003015,0.029482,0.457999,2.230883
AOA,100,3,45,14.798000,0.003094,0.026263,0.396969,2.902193
GWO,100,3,45,11.444000,0.003124,0.026483,0.468174,2.147356
LSCBO,100,4,46,11.140667,0.002677,0.030325,0.414131,1.863998
CBO,100,4,46,13.017333,0.002714,0.028784,0.517921,2.052811
PSO,100,4,46,14.694000,0.002754,0.029768,0.361121,2.645020
AOA,100,4,46,13.017333,0.002714,0.028784,0.517921,2.052811
GWO,100,4,46,13.017333,0.002714,0.028784,0.517921,2.052811
LSCBO,100,5,47,19.742000,0.002895,0.033588,0.233558,2.939435
CBO,100,5,47,18.864000,0.002925,0.035969,0.375626,3.026031
PSO,100,5,47,19.970000,0.002751,0.035388,0.454456,2.699592
AOA,100,5,47,16.950000,0.002738,0.031186,0.446712,2.354765
GWO,100,5,47,15.452000,0.002896,0.035406,0.456333,2.016054
LSCBO,100,6,48,29.556000,0.003173,0.043022,0.000021,3.815469
CBO,100,6,48,16.966000,0.002884,0.033277,0.377141,2.153870
PSO,100,6,48,19.286000,0.002829,0.037107,0.416236,2.547583
AOA,100,6,48,24.232000,0.002933,0.035046,0.274984,3.106052
GWO,100,6,48,18.394000,0.002947,0.035640,0.459151,2.456570
LSCBO,100,7,49,23.808000,0.002525,0.035701,0.167675,3.297997
CBO,100,7,49,16.810000,0.002901,0.032389,0.385677,2.648340
PSO,100,7,49,12.814000,0.002882,0.032920,0.467861,1.839512
AOA,100,7,49,18.070667,0.002858,0.033306,0.302913,2.830064
GWO,100,7,49,16.916000,0.002945,0.033456,0.366779,2.578816
LSCBO,100,8,50,18.628000,0.002883,0.032905,0.200587,3.144474
CBO,100,8,50,16.649000,0.002935,0.030738,0.372730,2.783825
PSO,100,8,50,16.306000,0.002901,0.030973,0.414473,2.527805
AOA,100,8,50,16.039333,0.003025,0.029774,0.336867,2.551104
GWO,100,8,50,17.748667,0.003137,0.029424,0.357297,2.828323
LSCBO,100,9,51,29.302000,0.002725,0.037363,0.019112,4.015309
CBO,100,9,51,13.198000,0.002934,0.030478,0.519077,1.816000
PSO,100,9,51,18.638000,0.002745,0.033061,0.350513,2.994877
AOA,100,9,51,19.760000,0.002760,0.034386,0.331170,3.191684
GWO,100,9,51,15.644000,0.002775,0.035231,0.411954,2.333197
LSCBO,100,10,52,22.830000,0.002897,0.039685,0.235536,2.918688
CBO,100,10,52,19.606000,0.002868,0.038643,0.378906,2.641787
PSO,100,10,52,20.940000,0.002968,0.038398,0.413028,2.765975
AOA,100,10,52,20.606000,0.002664,0.037261,0.416423,2.737848
GWO,100,10,52,17.394000,0.002859,0.034653,0.421574,2.344961
LSCBO,100,11,53,16.375333,0.002997,0.037318,0.357477,2.145533
CBO,100,11,53,22.270000,0.002902,0.038420,0.361322,3.000102
PSO,100,11,53,19.474000,0.002967,0.040181,0.385016,2.578551
AOA,100,11,53,24.782000,0.002937,0.038967,0.285301,3.218061
