Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
CBO,100,16,58,24.306000,0.002870,0.032763,0.427663,2.185095
PSO,100,16,58,17.994667,0.002787,0.033418,0.332984,2.462604
AOA,100,16,58,97.231333,0.002539,0.030679,-0.847584,6.841121
GWO,100,16,58,38.186000,0.002555,0.032465,0.006668,5.206546
LF-CBO,100,17,59,17.348000,0.003011,0.037495,0.271909,2.289380
CBO,100,17,59,29.888000,0.003073,0.030365,0.189709,2.942555
PSO,100,17,59,28.590000,0.003023,0.031445,0.190460,3.857040
AOA,100,17,59,102.466000,0.002631,0.027519,-1.011836,8.539121
GWO,100,17,59,33.472667,0.002979,0.031776,0.179518,4.832393
LF-CBO,100,18,60,18.926000,0.002816,0.035259,0.250858,2.725612
CBO,100,18,60,95.119333,0.003063,0.023290,-1.165039,8.497810
PSO,100,18,60,31.148000,0.002916,0.030875,0.167630,4.569582
AOA,100,18,60,97.827333,0.003002,0.023488,-0.951780,8.061352
GWO,100,18,60,25.850667,0.002982,0.027465,0.256993,3.858476
LF-CBO,100,19,61,14.882000,0.002221,0.034375,0.376528,2.092916
CBO,100,19,61,91.770000,0.002837,0.021519,-0.995925,7.325930
PSO,100,19,61,74.026000,0.002822,0.023468,-0.950352,7.893635
AOA,100,19,61,59.202000,0.002856,0.022891,-0.496305,4.927961
GWO,100,19,61,27.752000,0.002504,0.030832,0.172519,3.744726
LF-CBO,100,20,62,16.582000,0.002750,0.028371,0.249329,2.813018
CBO,100,20,62,11.318000,0.003092,0.023808,0.448145,1.887531
PSO,100,20,62,13.950000,0.002881,0.027045,0.514729,1.957902
AOA,100,20,62,61.243333,0.002973,0.023011,-0.475541,6.822845
GWO,100,20,62,19.612667,0.003059,0.023474,0.238499,3.238902
LF-CBO,100,21,63,17.160000,0.002468,0.036699,0.328985,2.447728
CBO,100,21,63,76.632000,0.003236,0.023707,-1.062156,7.177734
PSO,100,21,63,40.388667,0.002760,0.028990,-0.072690,5.226832
AOA,100,21,63,73.419333,0.003041,0.024209,-0.622602,6.825019
GWO,100,21,63,21.523333,0.002688,0.030887,0.337192,3.143826
LF-CBO,100,22,64,16.882000,0.002551,0.029630,0.275594,2.691394
CBO,100,22,64,17.595000,0.002989,0.027004,0.364701,2.011358
PSO,100,22,64,18.794000,0.002969,0.028231,0.185293,2.867424
AOA,100,22,64,39.430000,0.002948,0.029835,-0.127686,6.202686
GWO,100,22,64,22.131333,0.002806,0.027137,0.334803,3.571425
LF-CBO,100,23,65,22.814000,0.002951,0.041743,0.193540,2.858708
CBO,100,23,65,18.558000,0.002853,0.035763,0.363915,2.184573
PSO,100,23,65,22.662000,0.002704,0.034157,0.297068,2.960935
AOA,100,23,65,21.638000,0.002855,0.038082,0.288599,2.915157
GWO,100,23,65,17.888000,0.002914,0.036323,0.404174,2.333498
LF-CBO,100,24,66,16.738000,0.003084,0.035210,0.392239,2.360937
CBO,100,24,66,90.050000,0.003310,0.025873,-1.313157,9.645582
PSO,100,24,66,17.218000,0.003060,0.035868,0.425054,2.253763
AOA,100,24,66,113.320000,0.003201,0.024936,-0.799438,6.225973
GWO,100,24,66,33.748667,0.003287,0.030735,0.085491,4.641787
LF-CBO,100,25,67,23.790000,0.002403,0.033617,0.126378,3.628793
CBO,100,25,67,20.404000,0.002792,0.027594,0.380434,2.531847
PSO,100,25,67,18.124667,0.002770,0.028489,0.435173,2.666339
AOA,100,25,67,13.740000,0.002815,0.031172,0.393515,2.227634
GWO,100,25,67,23.350000,0.002772,0.029660,0.295319,3.712253
LF-CBO,100,26,68,21.558000,0.002773,0.035201,0.233677,3.146051
CBO,100,26,68,16.552000,0.002735,0.032386,0.428385,2.445655
PSO,100,26,68,20.124000,0.002842,0.031618,0.256448,2.840183
AOA,100,26,68,83.258000,0.002559,0.028598,-0.702593,6.958350
GWO,100,26,68,25.982000,0.002869,0.031903,0.248323,3.838950
LF-CBO,100,27,69,15.268000,0.002697,0.031999,0.271998,2.381130
CBO,100,27,69,29.390000,0.002737,0.027869,0.084224,4.107790
PSO,100,27,69,14.090000,0.002836,0.029996,0.439898,2.171612
AOA,100,27,69,40.248000,0.002592,0.027169,-0.165440,5.329066
GWO,100,27,69,15.356000,0.002811,0.028613,0.332858,2.523846
LF-CBO,100,28,70,20.670000,0.002547,0.038074,0.298481,2.702829
CBO,100,28,70,19.182667,0.002714,0.029056,0.432929,1.706354
PSO,100,28,70,21.117333,0.002738,0.029729,0.359597,2.946529
AOA,100,28,70,22.794000,0.002653,0.035386,0.304743,3.209460
GWO,100,28,70,28.976667,0.002765,0.030645,0.159048,4.315611
LF-CBO,100,29,71,23.238000,0.003192,0.041708,0.230838,2.849226
CBO,100,29,71,39.578000,0.002923,0.033424,-0.099120,5.714538
PSO,100,29,71,22.082000,0.003186,0.035358,0.278599,2.953692
AOA,100,29,71,111.315333,0.002594,0.030251,-0.693400,6.302801
GWO,100,29,71,40.480667,0.003029,0.029934,0.028010,5.766425
LF-CBO,100,30,72,19.536000,0.002717,0.038968,0.266187,2.685963
CBO,100,30,72,23.842000,0.002711,0.031597,0.476393,2.088441
PSO,100,30,72,23.078000,0.002627,0.031283,0.306768,2.866260
AOA,100,30,72,80.362667,0.002445,0.026167,-0.691804,5.556011
GWO,100,30,72,32.704667,0.002609,0.030677,0.137227,4.896635
LF-CBO,300,1,43,44.354000,0.009832,0.117637,0.463991,2.056552
CBO,300,1,43,292.239333,0.007752,0.080619,-2.161272,14.194252
PSO,300,1,43,152.328667,0.008578,0.101979,-0.456938,8.396780
AOA,300,1,43,313.535333,0.008039,0.080809,-1.778843,14.724581
GWO,300,1,43,89.354000,0.009538,0.105788,0.195520,4.620066
LF-CBO,300,2,44,37.187333,0.009058,0.096391,0.395594,2.101006
CBO,300,2,44,62.282000,0.009001,0.084201,0.229930,2.598662
PSO,300,2,44,49.582000,0.008809,0.091054,0.214398,3.137726
AOA,300,2,44,230.983333,0.009387,0.070156,-1.597916,14.650267
GWO,300,2,44,67.818000,0.009304,0.081585,0.230202,4.616186
LF-CBO,300,3,45,36.116000,0.009104,0.090888,0.433705,2.218091
CBO,300,3,45,217.752667,0.009331,0.070549,-1.585776,13.475912
PSO,300,3,45,58.144000,0.009520,0.086248,0.237684,3.845405
AOA,300,3,45,280.731333,0.009289,0.069555,-1.717796,14.286954
GWO,300,3,45,80.850000,0.009663,0.080368,0.083771,5.487972
LF-CBO,300,4,46,36.712000,0.008111,0.093712,0.425654,2.110158
CBO,300,4,46,103.160667,0.008217,0.081269,-0.285870,7.147967
PSO,300,4,46,64.226000,0.008010,0.085545,0.235112,4.214307
AOA,300,4,46,260.596667,0.007873,0.075539,-1.311428,12.990971
GWO,300,4,46,81.956000,0.008567,0.084097,0.107718,5.468806
LF-CBO,300,5,47,42.856000,0.008828,0.108948,0.435742,2.069696
CBO,300,5,47,91.754000,0.008150,0.096869,0.337605,2.958946
PSO,300,5,47,63.522000,0.008785,0.108619,0.259783,3.312150
AOA,300,5,47,308.320667,0.009328,0.076882,-1.536232,13.342510
GWO,300,5,47,91.583333,0.008656,0.100039,0.224019,5.155139
LF-CBO,300,6,48,54.850000,0.009534,0.130075,0.277256,2.365583
CBO,300,6,48,66.986000,0.009123,0.116782,0.247332,2.733570
PSO,300,6,48,76.880000,0.008960,0.111845,0.269574,3.809981
AOA,300,6,48,124.630000,0.009222,0.122021,0.019601,6.091923
GWO,300,6,48,52.754000,0.009330,0.120000,0.356635,2.605295
LF-CBO,300,7,49,49.830000,0.007920,0.106119,0.277451,2.810130
CBO,300,7,49,32.834000,0.008233,0.095329,0.553869,1.787402
PSO,300,7,49,64.860000,0.008464,0.097630,0.264699,3.670119
AOA,300,7,49,65.802000,0.008397,0.101750,0.218465,3.862101
GWO,300,7,49,44.804000,0.008450,0.096792,0.450640,2.526223
LF-CBO,300,8,50,42.192000,0.008380,0.100084,0.396899,2.414011
CBO,300,8,50,226.362000,0.009522,0.068257,-1.760970,12.155198
PSO,300,8,50,291.350000,0.008978,0.071623,-2.211517,18.218329
AOA,300,8,50,310.673333,0.008760,0.069515,-1.782848,14.369846
GWO,300,8,50,72.448667,0.008954,0.088134,0.224986,4.556120
LF-CBO,300,9,51,58.358000,0.008801,0.116996,0.285013,2.936856
CBO,300,9,51,71.150000,0.008364,0.093154,0.201866,3.037565
PSO,300,9,51,84.066000,0.008704,0.102569,0.203454,4.818752
AOA,300,9,51,37.338000,0.008561,0.105356,0.536810,1.840119
