Algorithm,TaskCount,Seed,TimeCost,LoadCost,PriceCost,TotalCost
LSCBO,100,42,32598779707.4616,6071276549.2812,1130650279469.2590,300479778858.3658
CBO,100,42,115425181315.2327,17528994775.6164,1847119911982.9210,523874817347.2507
PSO,100,42,115801792486.9898,17064526279.4887,1707662788678.0933,489082724982.8904
AOA,100,42,43604810333968.7800,6104173014383.9060,350306449292705.9400,110905060743756.8400
GWO,100,42,691243662974.1787,96972677585.7128,7276550464657.2340,2189002617047.8262
WOA,100,42,519847561856967.4400,72778658659968.8000,4158780494874074.5000,1317813569311994.5000
LSCBO,200,42,130704503950.9958,23161604188.8770,4810730492570.1880,1273825276165.2642
CBO,200,42,184767640458.4122,27472602967.9388,3965219126625.3203,1090556752627.5209
PSO,200,42,12665440973849.9140,1781069234985.1292,115207010299528.1200,35579740370553.2700
AOA,200,42,161888019152862.9000,22659688083306.3400,1310266787955934.2000,414175628586241.6000
GWO,200,42,40848521532.0653,13995612811.9802,4336114193827.4927,1107951712425.9010
WOA,200,42,5181641289792895.0000,725429780570997.1000,41453130318361990.0000,13135460669629696.0000
LSCBO,300,42,108629131301.9486,27209338449.1249,6568267048027.4310,1703183662270.1133
CBO,300,42,999605932159.8074,140525685685.1630,14707304312900.3570,4211760465726.2837
PSO,300,42,8579396294629.4770,1204120231386.7312,80943507783694.6900,24826605151085.0940
AOA,300,42,197943694276636.1200,27774579762692.9730,1801959606179920.0000,556405393623971.3000
GWO,300,42,61537264154801.9000,8613982804873.8240,495814775870746.8000,156875821746306.1200
WOA,300,42,16556067593756616.0000,2317849457706945.5000,132448555923248560.0000,41969635142117180.0000
LSCBO,400,42,353117239526.1039,66239912928.8361,21790451940280.0700,5640731583065.2780
CBO,400,42,217820456613.8841,42804695800.3581,12763420944684.2680,3310466638428.0986
PSO,400,42,345443701841.3511,55101792587.8859,11865779118395.5880,3152942078666.5440
AOA,400,42,714605594850142.8000,100222492803279.2700,6239704141598700.0000,1942284456025566.2000
GWO,400,42,204043543873270.0600,28558801086055.7000,1656873824932555.2000,523379928441287.7500
WOA,400,42,41040322998188430.0000,5745645219746377.0000,328322583985545150.0000,104037218800417100.0000
LSCBO,500,42,262122110504.8089,68432332835.4993,31460575144902.4500,8013312924686.8920
CBO,500,42,33456008662254.2270,4964806295473.2260,376811377213299.7500,112172050208320.3600
PSO,500,42,7257050979190.5520,1230991654964.3962,111271005821687.4700,31754024858758.2420
AOA,500,42,1052951021234105.8000,147610897723105.5000,9104809808306798.0000,2839580687124529.0000
GWO,500,42,177856881015.2409,47584367475.7439,24047317536147.8800,6112653916413.5260
