Algorithm,TaskCount,Seed,TimeCost,LoadCost,PriceCost,TotalCost
LSCBO,100,42,41265541311.3346,9194154899.2010,1223966787881.8728,328923006350.9357
CBO,100,42,11800863828.3004,3868928289.1324,754770748499.2913,195560351111.2561
PSO,100,42,46858368210.8840,7658295035.2979,1084611001557.2295,296496508253.5739
AOA,100,42,166776789301396.0000,23348567372514.4140,1334731996662143.5000,422908535659362.5000
GWO,100,42,4091176554924.9937,572660409821.6915,33050001657128.4020,10451253794200.0200
WOA,100,42,576813607819718.9000,80753905094760.1900,4614508862558466.0000,1462222495823166.0000
LSCBO,200,42,62865507666.0485,16405551789.3624,3562874622879.1235,926252797500.1458
CBO,200,42,131102422268.9375,24410990619.8455,5521012497522.2520,1451907083169.9932
PSO,200,42,282705509461.7351,53676387246.8452,6041248733891.1120,1665084035015.3570
AOA,200,42,407583066056384.7000,57059327082287.4200,3267244844581204.5000,1034867575944065.2000
GWO,200,42,1028065427649.5001,143459898322.7570,10425033572457.4140,3156156081519.7930
WOA,200,42,4908283311611656.0000,687159663625631.8000,39266266492894690.0000,12442498194935908.0000
LSCBO,300,42,155408991728.1715,29909292560.4111,7629027012722.3560,1992438572184.7776
CBO,300,42,102200394397.6715,29031148261.1454,9952562884461.8240,2546498705379.5780
PSO,300,42,3802938519676.7886,531206675155.8684,36942629026155.1800,11269928185166.1560
AOA,300,42,1475270368591740.2000,206529480144855.4700,11826305996221098.0000,3745844053387358.5000
GWO,300,42,22735651779305.2700,3181311002016.2680,186715521275398.1000,58842033959006.2300
WOA,300,42,16865290861340222.0000,2361140720587632.0000,134922326890723950.0000,42753512333498010.0000
LSCBO,400,42,334359752959.0555,51206824829.6740,19214883671706.6600,4983702500613.6110
CBO,400,42,156652096317.3877,40562535781.1845,15125028502383.7300,3869723807699.9230
PSO,400,42,3322178217842.6830,569787981468.9812,61741678953680.8750,17238955842708.8050
AOA,400,42,1523584362622564.0000,213504379844553.8400,13121612290442216.0000,4095571348882974.5000
GWO,400,42,1021480123058.0635,142803532757.6498,16694239065158.9980,4720000711008.1930
WOA,400,42,40517969642150070.0000,5672515749901018.0000,324143757137200600.0000,102713053042850430.0000
LSCBO,500,42,393381691778.2382,91435591693.5000,45890940331872.0300,11692284826780.5020
CBO,500,42,279128942972.6212,69685349707.3924,35928120002158.3000,9139015809452.7320
PSO,500,42,8274568127052.4100,1417875877435.5117,134372141187027.8300,38084788329642.0400
AOA,500,42,5416626030828347.0000,758187433790338.1000,44738183221649360.0000,14082405679274098.0000
GWO,500,42,742003026964.1927,130797121403.9496,49530013753192.9600,12786204232131.3240
