Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
CBO,100,26,68,16.552000,0.002735,0.032386,0.428385,2.445655
PSO,100,26,68,20.124000,0.002842,0.031618,0.256448,2.840183
LSCBO,100,27,69,15.904667,0.002968,0.028195,0.300654,2.704085
CBO,100,27,69,29.390000,0.002737,0.027869,0.084224,4.107790
PSO,100,27,69,14.090000,0.002836,0.029996,0.439898,2.171612
LSCBO,100,28,70,16.084000,0.002780,0.028605,0.442511,1.841026
CBO,100,28,70,19.182667,0.002714,0.029056,0.432929,1.706354
PSO,100,28,70,21.117333,0.002738,0.029729,0.359597,2.946529
LSCBO,100,29,71,25.910000,0.003235,0.036647,0.224279,3.693690
CBO,100,29,71,39.578000,0.002923,0.033424,-0.099120,5.714538
PSO,100,29,71,22.082000,0.003186,0.035358,0.278599,2.953692
LSCBO,100,30,72,16.388000,0.003026,0.034531,0.472024,2.265343
CBO,100,30,72,23.842000,0.002711,0.031597,0.476393,2.088441
PSO,100,30,72,23.078000,0.002627,0.031283,0.306768,2.866260
LSCBO,300,1,43,45.030000,0.009747,0.111092,0.534385,2.261618
CBO,300,1,43,292.239333,0.007752,0.080619,-2.161272,14.194252
PSO,300,1,43,152.328667,0.008578,0.101979,-0.456938,8.396780
LSCBO,300,2,44,60.050000,0.008948,0.084397,0.262180,2.807815
CBO,300,2,44,62.282000,0.009001,0.084201,0.229930,2.598662
PSO,300,2,44,49.582000,0.008809,0.091054,0.214398,3.137726
LSCBO,300,3,45,41.646000,0.009615,0.086769,0.472568,2.798015
CBO,300,3,45,217.752667,0.009331,0.070549,-1.585776,13.475912
PSO,300,3,45,58.144000,0.009520,0.086248,0.237684,3.845405
LSCBO,300,4,46,55.638667,0.008159,0.082672,0.303257,3.804647
CBO,300,4,46,103.160667,0.008217,0.081269,-0.285870,7.147967
PSO,300,4,46,64.226000,0.008010,0.085545,0.235112,4.214307
LSCBO,300,5,47,51.734000,0.008899,0.108892,0.466636,2.643400
CBO,300,5,47,91.754000,0.008150,0.096869,0.337605,2.958946
PSO,300,5,47,63.522000,0.008785,0.108619,0.259783,3.312150
LSCBO,300,6,48,74.534000,0.008895,0.115982,0.299947,3.305436
CBO,300,6,48,66.986000,0.009123,0.116782,0.247332,2.733570
PSO,300,6,48,76.880000,0.008960,0.111845,0.269574,3.809981
LSCBO,300,7,49,44.940000,0.008314,0.092037,0.272452,2.593976
CBO,300,7,49,32.834000,0.008233,0.095329,0.553869,1.787402
PSO,300,7,49,64.860000,0.008464,0.097630,0.264699,3.670119
LSCBO,300,8,50,48.150000,0.008914,0.095027,0.459438,2.837085
CBO,300,8,50,226.362000,0.009522,0.068257,-1.760970,12.155198
PSO,300,8,50,291.350000,0.008978,0.071623,-2.211517,18.218329
LSCBO,300,9,51,34.518000,0.008712,0.099255,0.570925,1.800774
CBO,300,9,51,71.150000,0.008364,0.093154,0.201866,3.037565
PSO,300,9,51,84.066000,0.008704,0.102569,0.203454,4.818752
LSCBO,300,10,52,40.244000,0.008519,0.111603,0.443628,2.036611
CBO,300,10,52,203.036000,0.007372,0.097763,-1.003008,11.238674
PSO,300,10,52,40.700000,0.008416,0.107260,0.410478,2.027319
LSCBO,300,11,53,57.178000,0.009302,0.115254,0.415228,2.927585
CBO,300,11,53,376.300000,0.007076,0.097096,-1.896744,12.405000
PSO,300,11,53,56.230000,0.009103,0.121485,0.280910,2.623997
LSCBO,300,12,54,41.316000,0.007661,0.101275,0.448767,2.214163
CBO,300,12,54,81.290000,0.007609,0.093971,0.095825,3.017234
PSO,300,12,54,59.782000,0.007840,0.100187,0.248862,3.191858
LSCBO,300,13,55,47.190000,0.008323,0.103879,0.433177,2.635735
CBO,300,13,55,69.314000,0.008260,0.102616,0.244974,3.875212
PSO,300,13,55,59.080000,0.008171,0.105403,0.325367,3.098685
LSCBO,300,14,56,54.842000,0.007302,0.114931,0.303633,2.725757
CBO,300,14,56,271.384667,0.007013,0.080493,-1.896497,13.524585
PSO,300,14,56,246.572667,0.007058,0.081043,-1.817835,13.208468
LSCBO,300,15,57,37.860000,0.009278,0.088585,0.533322,2.172878
CBO,300,15,57,200.755333,0.007912,0.079472,-1.519417,12.656858
PSO,300,15,57,45.526000,0.009365,0.085293,0.303846,2.830047
LSCBO,300,16,58,105.278000,0.008208,0.102065,0.197392,3.789982
CBO,300,16,58,75.820000,0.008033,0.099635,0.287271,2.609237
PSO,300,16,58,59.218000,0.007973,0.108134,0.299009,2.917131
LSCBO,300,17,59,64.680000,0.009153,0.094014,0.257204,2.708461
CBO,300,17,59,276.982000,0.007618,0.080639,-2.073377,13.401272
PSO,300,17,59,58.022000,0.008962,0.099019,0.350618,3.148711
LSCBO,300,18,60,42.476000,0.008608,0.100217,0.478403,2.341623
CBO,300,18,60,249.998667,0.009483,0.072880,-2.005242,15.017184
PSO,300,18,60,49.930000,0.008412,0.101114,0.331867,2.797303
