variant,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
V1_CBO,150,618.00633385,1750.26648145,2207.53177166,1.82991362,1.65911085
V2_CBO_plus_Levy,150,615.38609923,1744.76251859,2207.45051836,1.81726518,1.65053241
V3_CBO_plus_LS,150,533.02316187,1564.77092695,2192.32666849,1.50255338,1.39681232
V4_CBO_plus_Levy_plus_LS,150,534.06437855,1566.75136233,2191.98688963,1.50827708,1.40068551
V5_LSCBO_final,150,534.40373277,1567.76155988,2192.53266688,1.49995792,1.39415646
