algorithm,rank_makespan,blocks_makespan,rank_energy,blocks_energy,rank_cost,blocks_cost,rank_imbalance,blocks_imbalance,rank_objective,blocks_objective
LSCBO,1.086667,150,1.1,150,1.166667,150,1.086667,150,1.086667,150
WOA,5.1,150,5.08,150,5.24,150,5.14,150,5.093333,150
HHO,5.226667,150,5.22,150,5.38,150,5.126667,150,5.24,150
CBO,5.26,150,5.3,150,5.686667,150,5.346667,150,5.306667,150
PSO,5.413333,150,5.46,150,5.646667,150,5.48,150,5.42,150
DBO,5.586667,150,5.54,150,5.646667,150,5.48,150,5.526667,150
GTO,5.66,150,5.606667,150,5.04,150,5.64,150,5.606667,150
GWO,5.806667,150,5.8,150,5.68,150,5.866667,150,5.84,150
AOA,5.86,150,5.893333,150,5.513333,150,5.833333,150,5.88,150
