perturbation,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
CAUCHY,90,335.12728919,1000.05218146,1467.83480552,1.49601786,1.39867372
GAUSSIAN,90,333.54431273,996.43742315,1467.26440225,1.50042252,1.40173828
LEVY,90,333.8789891,997.30126576,1467.56428257,1.48918504,1.39353499
NONE,90,331.49450528,991.92351011,1466.82613672,1.48736921,1.39177721
RANDOM_RESTART,90,333.2919955,995.83877366,1467.13302279,1.48489715,1.38957465
