Algorithm,Function,Mean,Std
GWO,Step,2.4550233333e+04,5.5564593084e+03
GWO,Bohachevsky,6.7745443738e+04,1.7892844582e+04
GWO,Quartic,2.2531638977e+01,1.0318136029e+01
GWO,Exponential,6.8365555205e-01,8.2912938359e-02
GWO,Alpine,4.4727931016e+01,9.2844459513e+00
GWO,Hybrid Function 1,1.1705081928e+04,2.5220245037e+03
GWO,Hybrid Function 2,5.9785997312e+06,3.8044370660e+06
GWO,Expanded Schaffer F6,1.4229626594e+01,2.9984122543e-01
GWO,Pathological,1.3607802348e+01,3.0155639193e-01
GWO,Periodic,1.1572496936e+01,9.0512365194e-01
GWO,Salomon,1.6116893599e+01,1.7969864889e+00
GWO,Styblinski-Tang,-4.9876656791e+02,8.9033735713e+01
GWO,Weierstrass,3.8743034822e+01,3.3454578358e+00
GWO,Xin-She Yang,3.4094475552e-03,5.2695663929e-03
GWO,Sum Of Different Powers,1.0253034074e-01,9.6437826885e-02
DE,Sphere,1.4847172202e+01,3.3366126621e+01
DE,Zakharov,1.3366424772e-03,6.0712667704e-03
DE,Rosenbrock,1.4349452609e+04,4.2196845263e+04
DE,Rastrigin,2.2800109307e+01,6.8993112261e+00
DE,Ackley,1.7249941420e+00,6.8338009524e-01
DE,Griewank,1.9167986263e-01,3.0158108522e-01
DE,Levy,1.1884523731e+00,8.6413810282e-01
DE,Schwefel,2.7158414237e+03,6.6797101611e+02
DE,Michalewicz,-2.7098160491e+01,6.1996246158e-01
DE,Bent Cigar,6.1997102782e+06,1.9787851794e+07
DE,Discus,2.9475486943e+02,1.1953336178e+03
DE,High Conditioned Elliptic,1.2916589377e+05,5.9529413475e+05
DE,Dixon-Price,3.7731948612e+01,1.0964413997e+02
DE,HappyCat,3.9854204248e-01,4.3546060362e-02
DE,Step,4.4100000000e+01,6.4601522170e+01
DE,Bohachevsky,1.3673780951e+01,3.3804935807e+01
DE,Quartic,7.8844040084e-03,6.8722052240e-03
DE,Exponential,7.4069776932e-04,1.6634087225e-03
DE,Alpine,7.7942601830e-11,4.1972946977e-10
