Algorithm,TaskCount,Seed,Makespan,LoadBalanceRatio
WOA,2000,59,602.2042,0.3850
LSCBO,2000,60,593.4541,0.4321
CBO,2000,60,664.0000,0.2950
WOA,2000,60,600.0590,0.2841
LSCBO,2000,61,682.2206,0.2507
CBO,2000,61,708.0204,0.2591
WOA,2000,61,659.9570,0.2461
LSCBO,2000,62,480.1800,0.3164
CBO,2000,62,523.5080,0.3610
WOA,2000,62,487.0422,0.3061
LSCBO,2000,63,739.7692,0.2592
CBO,2000,63,795.1955,0.5924
WOA,2000,63,753.2993,0.3533
LSCBO,2000,64,690.8968,0.3100
CBO,2000,64,739.6592,0.3533
WOA,2000,64,727.2512,0.3459
LSCBO,2000,65,629.2215,1.0045
CBO,2000,65,719.9267,2.4902
WOA,2000,65,686.9012,1.1956
LSCBO,2000,66,582.5453,0.2590
CBO,2000,66,669.5699,0.2763
WOA,2000,66,610.3518,0.2536
LSCBO,2000,67,655.8131,0.3173
CBO,2000,67,699.8764,0.3092
WOA,2000,67,646.9034,0.5885
LSCBO,2000,68,532.6080,0.3168
CBO,2000,68,592.7050,0.3457
WOA,2000,68,564.0111,0.3170
LSCBO,2000,69,515.0355,0.4162
CBO,2000,69,596.7500,0.7327
WOA,2000,69,511.8097,0.5212
LSCBO,2000,70,665.7932,0.4625
CBO,2000,70,689.1426,0.7733
WOA,2000,70,704.8711,0.3479
LSCBO,2000,71,635.3507,0.5442
CBO,2000,71,672.6882,0.6185
WOA,2000,71,663.8145,0.3196
LSCBO,2000,72,726.4159,0.3145
CBO,2000,72,776.7840,0.2215
WOA,2000,72,775.6759,0.2259
LSCBO,3000,43,993.6329,0.2657
CBO,3000,43,1025.2598,0.6523
WOA,3000,43,1025.5093,0.2349
LSCBO,3000,44,981.0000,0.5086
CBO,3000,44,1026.1949,0.2316
WOA,3000,44,1026.1949,0.2316
LSCBO,3000,45,950.4575,0.9684
CBO,3000,45,1000.1342,1.4123
WOA,3000,45,887.4162,2.0127
LSCBO,3000,46,1001.7879,0.3449
CBO,3000,46,1069.3149,1.2617
WOA,3000,46,983.1283,0.3660
LSCBO,3000,47,856.3223,0.3161
CBO,3000,47,987.0994,0.2370
WOA,3000,47,890.0332,0.6020
LSCBO,3000,48,959.9167,0.2289
CBO,3000,48,972.0714,1.2852
WOA,3000,48,932.3798,0.7747
LSCBO,3000,49,957.4393,0.2756
CBO,3000,49,1034.4852,0.6696
WOA,3000,49,937.6962,0.2761
LSCBO,3000,50,1028.3171,1.3415
CBO,3000,50,1040.7303,0.2257
WOA,3000,50,941.9510,0.7234
LSCBO,3000,51,1031.7199,0.2568
CBO,3000,51,1093.2903,0.6966
