Variant,TaskCount,Seed,Makespan,LoadBalanceRatio
FULL,2000,55,325.7431,0.3754
base,2000,56,958.1229,1.1417
noPhase1,2000,56,1062.5808,1.2209
noPhase2,2000,56,1591.0978,1.1503
noPhase3,2000,56,1383.5360,1.5172
pop50,2000,56,1164.5060,1.0839
LS-only,2000,56,343.2566,0.4088
FULL,2000,56,380.4257,0.4576
base,2000,57,1103.3067,0.9800
noPhase1,2000,57,983.7691,0.9305
noPhase2,2000,57,1103.3067,0.9800
noPhase3,2000,57,1103.3067,0.9800
pop50,2000,57,930.4920,0.8878
LS-only,2000,57,502.0903,0.6402
FULL,2000,57,470.2346,0.5953
base,2000,58,703.0133,0.8080
noPhase1,2000,58,729.1818,0.8113
noPhase2,2000,58,703.0133,0.8080
noPhase3,2000,58,703.0133,0.8080
pop50,2000,58,688.3202,0.7859
LS-only,2000,58,396.2107,0.5139
FULL,2000,58,375.2175,0.4888
base,2000,59,662.1223,0.7826
noPhase1,2000,59,603.3905,0.8242
noPhase2,2000,59,616.1589,0.8008
noPhase3,2000,59,703.6464,0.8277
pop50,2000,59,666.2486,0.8538
LS-only,2000,59,387.0149,0.5347
FULL,2000,59,355.7921,0.4872
base,2000,60,1122.7774,1.0629
noPhase1,2000,60,808.3301,1.0089
noPhase2,2000,60,1261.1807,1.0729
noPhase3,2000,60,1195.2699,1.3128
pop50,2000,60,922.4543,1.0384
LS-only,2000,60,299.0923,0.3919
FULL,2000,60,289.9048,0.3831
base,2000,61,1040.8525,0.8682
noPhase1,2000,61,1241.6017,0.9394
noPhase2,2000,61,1050.9495,0.8719
noPhase3,2000,61,1056.5117,0.8816
pop50,2000,61,989.3145,0.8182
LS-only,2000,61,490.5215,0.5151
FULL,2000,61,490.7130,0.5283
base,2000,62,459.5325,0.5566
noPhase1,2000,62,391.6456,0.5084
noPhase2,2000,62,459.5325,0.5566
noPhase3,2000,62,459.5325,0.5566
pop50,2000,62,411.6891,0.5118
LS-only,2000,62,189.3582,0.2068
FULL,2000,62,193.6707,0.2222
base,2000,63,1917.8497,1.1661
noPhase1,2000,63,2419.0937,1.3399
noPhase2,2000,63,1917.8497,1.1661
noPhase3,2000,63,1917.8497,1.1661
pop50,2000,63,1873.2110,1.1867
LS-only,2000,63,805.0583,0.8270
FULL,2000,63,723.2581,0.7785
base,2000,64,866.6435,0.6894
noPhase1,2000,64,1065.3233,0.7509
noPhase2,2000,64,866.6435,0.6894
noPhase3,2000,64,867.5274,0.6847
pop50,2000,64,865.1064,0.7191
LS-only,2000,64,523.6269,0.5264
FULL,2000,64,475.2360,0.4763
base,2000,65,867.9144,1.0173
noPhase1,2000,65,1052.5197,1.1831
noPhase2,2000,65,1445.4419,1.1339
noPhase3,2000,65,1109.8190,1.2105
pop50,2000,65,1112.1213,1.1453
LS-only,2000,65,574.6031,0.6860
FULL,2000,65,481.5836,0.5682
base,2000,66,1121.3554,1.0336
noPhase1,2000,66,1147.6868,1.0507
noPhase2,2000,66,1048.7435,1.0131
noPhase3,2000,66,1121.3554,1.0336
pop50,2000,66,1067.2560,0.9783
LS-only,2000,66,419.7510,0.5372
FULL,2000,66,402.6790,0.5332
base,2000,67,881.0081,1.0794
noPhase1,2000,67,925.3285,1.1029
noPhase2,2000,67,1147.4831,1.0084
noPhase3,2000,67,1097.0549,1.1117
pop50,2000,67,1020.5669,1.0265
LS-only,2000,67,419.1133,0.5449
FULL,2000,67,450.2910,0.5720
base,2000,68,547.5292,0.6108
noPhase1,2000,68,532.0046,0.6418
noPhase2,2000,68,547.5292,0.6108
noPhase3,2000,68,547.5292,0.6108
pop50,2000,68,529.2285,0.6405
LS-only,2000,68,290.3842,0.3738
FULL,2000,68,277.1489,0.3545
base,2000,69,556.4450,0.6121
noPhase1,2000,69,498.2406,0.6783
noPhase2,2000,69,556.4450,0.6121
noPhase3,2000,69,556.4450,0.6121
pop50,2000,69,455.8360,0.5608
LS-only,2000,69,289.5942,0.3390
FULL,2000,69,262.8156,0.3146
base,2000,70,1551.1207,1.1606
noPhase1,2000,70,1294.9744,1.0995
noPhase2,2000,70,850.7317,1.1413
noPhase3,2000,70,1551.1207,1.1606
pop50,2000,70,1415.0166,1.1117
LS-only,2000,70,410.4518,0.4858
FULL,2000,70,462.0225,0.5445
base,2000,71,1016.4674,0.8521
noPhase1,2000,71,722.1585,0.8752
noPhase2,2000,71,1016.4674,0.8521
noPhase3,2000,71,1016.4674,0.8521
pop50,2000,71,1016.9506,1.0658
LS-only,2000,71,515.3013,0.5779
FULL,2000,71,386.5763,0.4577
base,2000,72,1752.7972,1.2864
noPhase1,2000,72,1638.7268,1.2615
noPhase2,2000,72,2491.6291,1.3751
noPhase3,2000,72,2220.8630,1.4464
pop50,2000,72,1678.2878,1.2559
LS-only,2000,72,940.1724,0.9133
FULL,2000,72,859.5204,0.8592
base,5000,43,2658.1381,1.1442
noPhase1,5000,43,2280.0822,1.0162
noPhase2,5000,43,2762.4324,1.0241
noPhase3,5000,43,2658.1381,1.1442
pop50,5000,43,2581.0980,1.1231
LS-only,5000,43,1832.3708,0.8417
FULL,5000,43,1522.1022,0.7518
base,5000,44,3978.7509,1.5332
noPhase1,5000,44,4069.4064,1.4681
noPhase2,5000,44,5583.7389,1.5880
noPhase3,5000,44,4293.2581,1.6407
pop50,5000,44,3839.3399,1.5488
LS-only,5000,44,2386.9058,1.0213
FULL,5000,44,3642.3373,1.5452
base,5000,45,2000.7376,1.0367
noPhase1,5000,45,2035.2130,1.1331
noPhase2,5000,45,3309.4192,1.0723
noPhase3,5000,45,2215.4326,1.1539
pop50,5000,45,2239.3564,1.0226
LS-only,5000,45,1395.0689,0.7646
FULL,5000,45,1562.2861,0.8209
base,5000,46,3513.0286,1.1411
noPhase1,5000,46,3146.6772,1.2015
noPhase2,5000,46,3654.0985,1.1678
noPhase3,5000,46,3697.7527,1.1636
pop50,5000,46,3730.1837,1.2121
LS-only,5000,46,2069.1876,0.8569
FULL,5000,46,2363.8146,0.9149
base,5000,47,2625.0241,1.2923
noPhase1,5000,47,2345.6987,1.1234
noPhase2,5000,47,4573.0818,1.3176
noPhase3,5000,47,3114.0272,1.4050
pop50,5000,47,2272.2951,1.1343
LS-only,5000,47,2313.8570,0.9202
FULL,5000,47,1618.7967,0.9424
base,5000,48,2592.5807,0.9618
noPhase1,5000,48,2250.7301,0.9844
noPhase2,5000,48,2592.5807,0.9618
noPhase3,5000,48,2592.5807,0.9618
pop50,5000,48,2566.2858,0.9605
LS-only,5000,48,1692.7564,0.7528
FULL,5000,48,1598.7375,0.7488
base,5000,49,2098.1600,1.0760
noPhase1,5000,49,2166.1269,1.1287
noPhase2,5000,49,1951.3052,0.9627
noPhase3,5000,49,3251.0887,1.0350
pop50,5000,49,2274.3529,1.1364
LS-only,5000,49,1576.4741,0.7454
FULL,5000,49,1737.4714,0.8207
base,5000,50,3454.5589,1.4642
noPhase1,5000,50,3118.8995,1.5117
noPhase2,5000,50,6040.8565,1.5095
noPhase3,5000,50,3851.1902,1.5838
pop50,5000,50,3356.7435,1.2985
LS-only,5000,50,2065.4288,0.8830
FULL,5000,50,2025.0274,1.1489
base,5000,51,2525.5376,0.8916
noPhase1,5000,51,2769.5438,0.9465
noPhase2,5000,51,2525.5376,0.8916
noPhase3,5000,51,2525.5376,0.8916
pop50,5000,51,2378.9640,0.8443
LS-only,5000,51,1779.0834,0.7526
FULL,5000,51,1684.2617,0.7360
base,5000,52,3759.9111,1.3376
noPhase1,5000,52,3534.4527,1.1413
noPhase2,5000,52,4197.0553,1.2628
noPhase3,5000,52,3944.0302,1.4021
pop50,5000,52,3739.9423,1.3756
LS-only,5000,52,3071.2097,1.0359
FULL,5000,52,3464.8388,1.2723
base,5000,53,3105.9530,0.9484
noPhase1,5000,53,3875.5989,1.1207
noPhase2,5000,53,3105.9530,0.9484
noPhase3,5000,53,3105.9530,0.9484
pop50,5000,53,3174.5785,0.9985
LS-only,5000,53,1500.9340,0.6146
FULL,5000,53,1505.5846,0.6265
base,5000,54,2681.1422,0.9089
noPhase1,5000,54,2528.1541,0.9077
noPhase2,5000,54,2681.1422,0.9089
noPhase3,5000,54,2681.1422,0.9089
pop50,5000,54,2520.0557,0.8638
LS-only,5000,54,1642.1479,0.7069
FULL,5000,54,1459.1280,0.6362
base,5000,55,2259.6953,0.7805
noPhase1,5000,55,2205.6476,0.7623
noPhase2,5000,55,2259.6953,0.7805
noPhase3,5000,55,2259.6953,0.7805
pop50,5000,55,2004.8921,0.7734
LS-only,5000,55,1208.5840,0.5695
FULL,5000,55,1208.5840,0.5695
base,5000,56,2626.2317,1.1970
noPhase1,5000,56,2411.8825,1.1827
noPhase2,5000,56,5011.4115,1.3381
noPhase3,5000,56,3459.1956,1.4087
pop50,5000,56,3025.5544,1.2509
LS-only,5000,56,2301.9731,0.8872
FULL,5000,56,1941.9848,0.8079
base,5000,57,2951.8570,1.0076
noPhase1,5000,57,3210.3642,1.0235
noPhase2,5000,57,2951.8570,1.0076
noPhase3,5000,57,2951.8570,1.0076
pop50,5000,57,2930.1620,0.9955
LS-only,5000,57,1724.1669,0.8169
FULL,5000,57,1795.2036,0.8342
base,5000,58,1880.2756,0.8439
noPhase1,5000,58,1797.4772,0.8540
noPhase2,5000,58,1880.2756,0.8439
noPhase3,5000,58,1880.2756,0.8439
pop50,5000,58,1866.5923,0.8105
LS-only,5000,58,1381.5408,0.6889
FULL,5000,58,1368.7278,0.7066
base,5000,59,1690.3957,0.7995
noPhase1,5000,59,1965.6171,0.9793
noPhase2,5000,59,1872.2634,0.9753
noPhase3,5000,59,1912.4119,0.8562
pop50,5000,59,1916.6500,0.9792
LS-only,5000,59,1329.1338,0.7303
FULL,5000,59,1250.0459,0.6934
base,5000,60,2338.3675,1.1666
noPhase1,5000,60,3340.5804,1.4707
noPhase2,5000,60,4516.1211,1.3666
noPhase3,5000,60,3575.7188,1.5339
pop50,5000,60,2736.1574,1.2129
LS-only,5000,60,1464.0334,0.6685
FULL,5000,60,1382.5856,0.6731
base,5000,61,3151.8677,0.9168
noPhase1,5000,61,3254.9896,0.9317
noPhase2,5000,61,3151.8677,0.9168
noPhase3,5000,61,3230.6153,0.9295
pop50,5000,61,2738.8721,0.8613
LS-only,5000,61,1938.2995,0.7237
FULL,5000,61,2013.1725,0.7349
base,5000,62,1691.8112,0.6196
noPhase1,5000,62,1856.5660,0.8933
noPhase2,5000,62,1691.8112,0.6196
noPhase3,5000,62,1691.8112,0.6196
pop50,5000,62,1783.6492,0.6666
LS-only,5000,62,757.8221,0.3975
FULL,5000,62,693.9529,0.3816
base,5000,63,6167.7884,1.3252
noPhase1,5000,63,6781.2071,1.4090
noPhase2,5000,63,6167.7884,1.3252
noPhase3,5000,63,6167.7884,1.3252
pop50,5000,63,6214.2538,1.3413
LS-only,5000,63,3619.1951,1.1136
FULL,5000,63,3396.4923,1.0908
base,5000,64,2481.8265,0.7113
noPhase1,5000,64,2946.0103,0.8407
noPhase2,5000,64,2481.8265,0.7113
noPhase3,5000,64,2481.8265,0.7113
pop50,5000,64,2428.3510,0.7212
LS-only,5000,64,1730.1347,0.6571
FULL,5000,64,1472.3596,0.5703
base,5000,65,2543.3797,1.2173
noPhase1,5000,65,2586.6178,1.1512
noPhase2,5000,65,5439.5900,1.2762
noPhase3,5000,65,3081.6599,1.3831
pop50,5000,65,2546.4522,1.2733
LS-only,5000,65,2225.3079,0.8998
FULL,5000,65,2240.7710,0.9077
base,5000,66,3612.2743,1.1849
noPhase1,5000,66,3370.1768,1.1138
noPhase2,5000,66,3612.2743,1.1849
noPhase3,5000,66,3612.2743,1.1849
pop50,5000,66,3532.7244,1.1361
LS-only,5000,66,2115.9754,0.9081
FULL,5000,66,2265.1529,0.9475
base,5000,67,2761.4834,1.3292
noPhase1,5000,67,2210.1771,1.0788
noPhase2,5000,67,3791.4140,1.1390
noPhase3,5000,67,3361.5172,1.4147
pop50,5000,67,2489.8846,1.0995
LS-only,5000,67,1874.6850,0.8234
FULL,5000,67,1803.5040,0.8275
base,5000,68,1472.7728,0.6480
noPhase1,5000,68,1534.6447,0.6976
noPhase2,5000,68,1472.7728,0.6480
noPhase3,5000,68,1472.7728,0.6480
pop50,5000,68,1475.8950,0.6395
LS-only,5000,68,1016.4935,0.5210
FULL,5000,68,1024.8324,0.5277
base,5000,69,1435.3587,0.6662
noPhase1,5000,69,1297.4310,0.5966
noPhase2,5000,69,1435.3587,0.6662
noPhase3,5000,69,1458.6784,0.6711
pop50,5000,69,1284.8801,0.6553
LS-only,5000,69,1030.9050,0.5416
FULL,5000,69,955.4460,0.4884
base,5000,70,4400.2842,1.2342
noPhase1,5000,70,3275.3642,1.0913
noPhase2,5000,70,2557.5372,1.1440
noPhase3,5000,70,4400.2842,1.2342
pop50,5000,70,2582.6306,1.2411
LS-only,5000,70,2282.3861,0.8666
FULL,5000,70,2025.3813,0.8284
base,5000,71,3040.3991,1.2941
noPhase1,5000,71,2438.9024,1.0466
noPhase2,5000,71,3230.2152,0.9585
noPhase3,5000,71,3071.4395,1.2720
pop50,5000,71,3032.7113,1.2931
LS-only,5000,71,1986.0490,0.7916
FULL,5000,71,1588.3197,0.6981
base,5000,72,3870.0234,1.2319
noPhase1,5000,72,5423.1868,1.4364
noPhase2,5000,72,7536.0150,1.4346
noPhase3,5000,72,6532.7071,1.5798
pop50,5000,72,3804.9961,1.2549
LS-only,5000,72,3854.3738,1.1617
FULL,5000,72,3786.7335,1.1496
